LOAD_ZONE,TIMEPOINT,zone_demand_mw
AZ_APS_E,350664,255.207
AZ_APS_E,350668,351.434
AZ_APS_E,350672,349.2
AZ_APS_E,350676,330.604
AZ_APS_E,350680,336.416
AZ_APS_E,350684,299.03
AZ_APS_E,350688,271.941
AZ_APS_E,350692,354.723
AZ_APS_E,350696,360.726
AZ_APS_E,350700,289.585
AZ_APS_E,350704,344.026
AZ_APS_E,350708,305.704
AZ_APS_E,350712,274.802
AZ_APS_E,350716,361.337
AZ_APS_E,350720,358.724
AZ_APS_E,350724,345.794
AZ_APS_E,350728,374.643
AZ_APS_E,350732,307.963
AZ_APS_E,350736,275.156
AZ_APS_E,350740,365.828
AZ_APS_E,350744,368.084
AZ_APS_E,350748,337.253
AZ_APS_E,350752,355.257
AZ_APS_E,350756,309.323
AZ_APS_E,350760,282.855
AZ_APS_E,350764,367.38
AZ_APS_E,350768,358.579
AZ_APS_E,350772,337.634
AZ_APS_E,350776,349.089
AZ_APS_E,350780,308.173
AZ_APS_E,350784,274.358
AZ_APS_E,350788,342.597
AZ_APS_E,350792,356.586
AZ_APS_E,350796,303.159
AZ_APS_E,350800,328.972
AZ_APS_E,350804,297.96
AZ_APS_E,350808,260.801
AZ_APS_E,350812,335.227
AZ_APS_E,350816,360.113
AZ_APS_E,350820,331.744
AZ_APS_E,350824,337.439
AZ_APS_E,350828,281.829
AZ_APS_E,350832,250.11
AZ_APS_E,350836,345.727
AZ_APS_E,350840,387.081
AZ_APS_E,350844,352.293
AZ_APS_E,350848,378.413
AZ_APS_E,350852,306.576
AZ_APS_E,350856,271.049
AZ_APS_E,350860,363.108
AZ_APS_E,350864,369.572
AZ_APS_E,350868,346.615
AZ_APS_E,350872,375.33
AZ_APS_E,350876,299.468
AZ_APS_E,350880,266.771
AZ_APS_E,350884,370.938
AZ_APS_E,350888,370.624
AZ_APS_E,350892,342.314
AZ_APS_E,350896,392.707
AZ_APS_E,350900,302.565
AZ_APS_E,350904,271.301
AZ_APS_E,350908,363.708
AZ_APS_E,350912,364.68
AZ_APS_E,350916,340.06
AZ_APS_E,350920,389.88
AZ_APS_E,350924,308.76
AZ_APS_E,350928,275.344
AZ_APS_E,350932,367.024
AZ_APS_E,350936,367.98
AZ_APS_E,350940,357.763
AZ_APS_E,350944,387.446
AZ_APS_E,350948,307.049
AZ_APS_E,350952,267.13
AZ_APS_E,350956,342.233
AZ_APS_E,350960,345.616
AZ_APS_E,350964,330.256
AZ_APS_E,350968,339.343
AZ_APS_E,350972,306.464
AZ_APS_E,350976,263.792
AZ_APS_E,350980,335.771
AZ_APS_E,350984,337.843
AZ_APS_E,350988,283.53
AZ_APS_E,350992,310.343
AZ_APS_E,350996,288.689
AZ_APS_E,351000,257.975
AZ_APS_E,351004,352.704
AZ_APS_E,351008,363.357
AZ_APS_E,351012,334.195
AZ_APS_E,351016,383.028
AZ_APS_E,351020,321.4
AZ_APS_E,351024,279.824
AZ_APS_E,351028,382.031
AZ_APS_E,351032,382.842
AZ_APS_E,351036,375.9
AZ_APS_E,351040,417.527
AZ_APS_E,351044,315.876
AZ_APS_E,351048,274.898
AZ_APS_E,351052,383.403
AZ_APS_E,351056,376.331
AZ_APS_E,351060,344.093
AZ_APS_E,351064,402.892
AZ_APS_E,351068,312.22
AZ_APS_E,351072,273.567
AZ_APS_E,351076,376.735
AZ_APS_E,351080,360.544
AZ_APS_E,351084,320.634
AZ_APS_E,351088,365.764
AZ_APS_E,351092,319.704
AZ_APS_E,351096,289.657
AZ_APS_E,351100,384.506
AZ_APS_E,351104,372.833
AZ_APS_E,351108,340.577
AZ_APS_E,351112,390.301
