timepoint_id,timestamp,timeseries
351368,2050013108,2050_2050-year-round
351372,2050013112,2050_2050-year-round
351376,2050013116,2050_2050-year-round
351380,2050013120,2050_2050-year-round
351384,2050020100,2050_2050-year-round
351388,2050020104,2050_2050-year-round
351392,2050020108,2050_2050-year-round
351396,2050020112,2050_2050-year-round
351400,2050020116,2050_2050-year-round
351404,2050020120,2050_2050-year-round
351408,2050020200,2050_2050-year-round
351412,2050020204,2050_2050-year-round
351416,2050020208,2050_2050-year-round
351420,2050020212,2050_2050-year-round
351424,2050020216,2050_2050-year-round
351428,2050020220,2050_2050-year-round
351432,2050020300,2050_2050-year-round
351436,2050020304,2050_2050-year-round
351440,2050020308,2050_2050-year-round
351444,2050020312,2050_2050-year-round
351448,2050020316,2050_2050-year-round
351452,2050020320,2050_2050-year-round
351456,2050020400,2050_2050-year-round
351460,2050020404,2050_2050-year-round
351464,2050020408,2050_2050-year-round
351468,2050020412,2050_2050-year-round
351472,2050020416,2050_2050-year-round
351476,2050020420,2050_2050-year-round
351480,2050020500,2050_2050-year-round
351484,2050020504,2050_2050-year-round
351488,2050020508,2050_2050-year-round
351492,2050020512,2050_2050-year-round
351496,2050020516,2050_2050-year-round
351500,2050020520,2050_2050-year-round
351504,2050020600,2050_2050-year-round
351508,2050020604,2050_2050-year-round
351512,2050020608,2050_2050-year-round
351516,2050020612,2050_2050-year-round
351520,2050020616,2050_2050-year-round
351524,2050020620,2050_2050-year-round
351528,2050020700,2050_2050-year-round
351532,2050020704,2050_2050-year-round
351536,2050020708,2050_2050-year-round
351540,2050020712,2050_2050-year-round
351544,2050020716,2050_2050-year-round
351548,2050020720,2050_2050-year-round
351552,2050020800,2050_2050-year-round
351556,2050020804,2050_2050-year-round
351560,2050020808,2050_2050-year-round
351564,2050020812,2050_2050-year-round
351568,2050020816,2050_2050-year-round
351572,2050020820,2050_2050-year-round
351576,2050020900,2050_2050-year-round
351580,2050020904,2050_2050-year-round
351584,2050020908,2050_2050-year-round
351588,2050020912,2050_2050-year-round
351592,2050020916,2050_2050-year-round
351596,2050020920,2050_2050-year-round
351600,2050021000,2050_2050-year-round
351604,2050021004,2050_2050-year-round
351608,2050021008,2050_2050-year-round
351612,2050021012,2050_2050-year-round
351616,2050021016,2050_2050-year-round
351620,2050021020,2050_2050-year-round
351624,2050021100,2050_2050-year-round
351628,2050021104,2050_2050-year-round
351632,2050021108,2050_2050-year-round
351636,2050021112,2050_2050-year-round
351640,2050021116,2050_2050-year-round
351644,2050021120,2050_2050-year-round
351648,2050021200,2050_2050-year-round
351652,2050021204,2050_2050-year-round
351656,2050021208,2050_2050-year-round
351660,2050021212,2050_2050-year-round
351664,2050021216,2050_2050-year-round
351668,2050021220,2050_2050-year-round
351672,2050021300,2050_2050-year-round
351676,2050021304,2050_2050-year-round
351680,2050021308,2050_2050-year-round
351684,2050021312,2050_2050-year-round
351688,2050021316,2050_2050-year-round
351692,2050021320,2050_2050-year-round
351696,2050021400,2050_2050-year-round
351700,2050021404,2050_2050-year-round
351704,2050021408,2050_2050-year-round
351708,2050021412,2050_2050-year-round
351712,2050021416,2050_2050-year-round
351716,2050021420,2050_2050-year-round
351720,2050021500,2050_2050-year-round
351724,2050021504,2050_2050-year-round
351728,2050021508,2050_2050-year-round
351732,2050021512,2050_2050-year-round
351736,2050021516,2050_2050-year-round
351740,2050021520,2050_2050-year-round
351744,2050021600,2050_2050-year-round
351748,2050021604,2050_2050-year-round
351752,2050021608,2050_2050-year-round
351756,2050021612,2050_2050-year-round
351760,2050021616,2050_2050-year-round
351764,2050021620,2050_2050-year-round
351768,2050021700,2050_2050-year-round
351772,2050021704,2050_2050-year-round
351776,2050021708,2050_2050-year-round
351780,2050021712,2050_2050-year-round
351784,2050021716,2050_2050-year-round
351788,2050021720,2050_2050-year-round
351792,2050021800,2050_2050-year-round
351796,2050021804,2050_2050-year-round
351800,2050021808,2050_2050-year-round
351804,2050021812,2050_2050-year-round
351808,2050021816,2050_2050-year-round
351812,2050021820,2050_2050-year-round
351816,2050021900,2050_2050-year-round
351820,2050021904,2050_2050-year-round
351824,2050021908,2050_2050-year-round
351828,2050021912,2050_2050-year-round
351832,2050021916,2050_2050-year-round
351836,2050021920,2050_2050-year-round
351840,2050022000,2050_2050-year-round
351844,2050022004,2050_2050-year-round
351848,2050022008,2050_2050-year-round
351852,2050022012,2050_2050-year-round
351856,2050022016,2050_2050-year-round
351860,2050022020,2050_2050-year-round
351864,2050022100,2050_2050-year-round
351868,2050022104,2050_2050-year-round
351872,2050022108,2050_2050-year-round
351876,2050022112,2050_2050-year-round
351880,2050022116,2050_2050-year-round
351884,2050022120,2050_2050-year-round
351888,2050022200,2050_2050-year-round
351892,2050022204,2050_2050-year-round
351896,2050022208,2050_2050-year-round
351900,2050022212,2050_2050-year-round
351904,2050022216,2050_2050-year-round
351908,2050022220,2050_2050-year-round
351912,2050022300,2050_2050-year-round
351916,2050022304,2050_2050-year-round
351920,2050022308,2050_2050-year-round
351924,2050022312,2050_2050-year-round
351928,2050022316,2050_2050-year-round
351932,2050022320,2050_2050-year-round
351936,2050022400,2050_2050-year-round
351940,2050022404,2050_2050-year-round
351944,2050022408,2050_2050-year-round
351948,2050022412,2050_2050-year-round
351952,2050022416,2050_2050-year-round
351956,2050022420,2050_2050-year-round
351960,2050022500,2050_2050-year-round
351964,2050022504,2050_2050-year-round
351968,2050022508,2050_2050-year-round
351972,2050022512,2050_2050-year-round
351976,2050022516,2050_2050-year-round
351980,2050022520,2050_2050-year-round
351984,2050022600,2050_2050-year-round
351988,2050022604,2050_2050-year-round
351992,2050022608,2050_2050-year-round
351996,2050022612,2050_2050-year-round
352000,2050022616,2050_2050-year-round
352004,2050022620,2050_2050-year-round
352008,2050022700,2050_2050-year-round
352012,2050022704,2050_2050-year-round
352016,2050022708,2050_2050-year-round
352020,2050022712,2050_2050-year-round
352024,2050022716,2050_2050-year-round
352028,2050022720,2050_2050-year-round
352032,2050022800,2050_2050-year-round
352036,2050022804,2050_2050-year-round
352040,2050022808,2050_2050-year-round
352044,2050022812,2050_2050-year-round
352048,2050022816,2050_2050-year-round
352052,2050022820,2050_2050-year-round
352056,2050030100,2050_2050-year-round
352060,2050030104,2050_2050-year-round
352064,2050030108,2050_2050-year-round
352068,2050030112,2050_2050-year-round
352072,2050030116,2050_2050-year-round
352076,2050030120,2050_2050-year-round
352080,2050030200,2050_2050-year-round
352084,2050030204,2050_2050-year-round
352088,2050030208,2050_2050-year-round
352092,2050030212,2050_2050-year-round
352096,2050030216,2050_2050-year-round
352100,2050030220,2050_2050-year-round
352104,2050030300,2050_2050-year-round
352108,2050030304,2050_2050-year-round
352112,2050030308,2050_2050-year-round
352116,2050030312,2050_2050-year-round
352120,2050030316,2050_2050-year-round
352124,2050030320,2050_2050-year-round
352128,2050030400,2050_2050-year-round
352132,2050030404,2050_2050-year-round
352136,2050030408,2050_2050-year-round
352140,2050030412,2050_2050-year-round
352144,2050030416,2050_2050-year-round
352148,2050030420,2050_2050-year-round
352152,2050030500,2050_2050-year-round
352156,2050030504,2050_2050-year-round
352160,2050030508,2050_2050-year-round
352164,2050030512,2050_2050-year-round
352168,2050030516,2050_2050-year-round
352172,2050030520,2050_2050-year-round
352176,2050030600,2050_2050-year-round
352180,2050030604,2050_2050-year-round
352184,2050030608,2050_2050-year-round
352188,2050030612,2050_2050-year-round
352192,2050030616,2050_2050-year-round
352196,2050030620,2050_2050-year-round
352200,2050030700,2050_2050-year-round
352204,2050030704,2050_2050-year-round
352208,2050030708,2050_2050-year-round
352212,2050030712,2050_2050-year-round
352216,2050030716,2050_2050-year-round
352220,2050030720,2050_2050-year-round
352224,2050030800,2050_2050-year-round
352228,2050030804,2050_2050-year-round
352232,2050030808,2050_2050-year-round
352236,2050030812,2050_2050-year-round
352240,2050030816,2050_2050-year-round
352244,2050030820,2050_2050-year-round
352248,2050030900,2050_2050-year-round
352252,2050030904,2050_2050-year-round
352256,2050030908,2050_2050-year-round
352260,2050030912,2050_2050-year-round
352264,2050030916,2050_2050-year-round
352268,2050030920,2050_2050-year-round
352272,2050031000,2050_2050-year-round
352276,2050031004,2050_2050-year-round
352280,2050031008,2050_2050-year-round
352284,2050031012,2050_2050-year-round
352288,2050031016,2050_2050-year-round
352292,2050031020,2050_2050-year-round
352296,2050031100,2050_2050-year-round
352300,2050031104,2050_2050-year-round
352304,2050031108,2050_2050-year-round
352308,2050031112,2050_2050-year-round
352312,2050031116,2050_2050-year-round
352316,2050031120,2050_2050-year-round
352320,2050031200,2050_2050-year-round
352324,2050031204,2050_2050-year-round
352328,2050031208,2050_2050-year-round
352332,2050031212,2050_2050-year-round
352336,2050031216,2050_2050-year-round
352340,2050031220,2050_2050-year-round
352344,2050031300,2050_2050-year-round
352348,2050031304,2050_2050-year-round
352352,2050031308,2050_2050-year-round
352356,2050031312,2050_2050-year-round
352360,2050031316,2050_2050-year-round
352364,2050031320,2050_2050-year-round
352368,2050031400,2050_2050-year-round
352372,2050031404,2050_2050-year-round
352376,2050031408,2050_2050-year-round
352380,2050031412,2050_2050-year-round
352384,2050031416,2050_2050-year-round
352388,2050031420,2050_2050-year-round
352392,2050031500,2050_2050-year-round
352396,2050031504,2050_2050-year-round
352400,2050031508,2050_2050-year-round
352404,2050031512,2050_2050-year-round
352408,2050031516,2050_2050-year-round
352412,2050031520,2050_2050-year-round
352416,2050031600,2050_2050-year-round
352420,2050031604,2050_2050-year-round
352424,2050031608,2050_2050-year-round
352428,2050031612,2050_2050-year-round
352432,2050031616,2050_2050-year-round
352436,2050031620,2050_2050-year-round
352440,2050031700,2050_2050-year-round
352444,2050031704,2050_2050-year-round
352448,2050031708,2050_2050-year-round
352452,2050031712,2050_2050-year-round
352456,2050031716,2050_2050-year-round
352460,2050031720,2050_2050-year-round
352464,2050031800,2050_2050-year-round
352468,2050031804,2050_2050-year-round
352472,2050031808,2050_2050-year-round
352476,2050031812,2050_2050-year-round
352480,2050031816,2050_2050-year-round
352484,2050031820,2050_2050-year-round
352488,2050031900,2050_2050-year-round
352492,2050031904,2050_2050-year-round
352496,2050031908,2050_2050-year-round
352500,2050031912,2050_2050-year-round
352504,2050031916,2050_2050-year-round
352508,2050031920,2050_2050-year-round
352512,2050032000,2050_2050-year-round
352516,2050032004,2050_2050-year-round
352520,2050032008,2050_2050-year-round
352524,2050032012,2050_2050-year-round
352528,2050032016,2050_2050-year-round
352532,2050032020,2050_2050-year-round
352536,2050032100,2050_2050-year-round
352540,2050032104,2050_2050-year-round
352544,2050032108,2050_2050-year-round
352548,2050032112,2050_2050-year-round
352552,2050032116,2050_2050-year-round
352556,2050032120,2050_2050-year-round
