GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
77383,2050,1042433.4572,33692.0,.
77384,2050,1042433.4572,33692.0,.
77385,2050,1042433.4572,33692.0,.
77386,2050,1042433.4572,33692.0,.
77387,2050,1042433.4572,33692.0,.
77388,2050,1042433.4572,33692.0,.
77389,2050,1042433.4572,33692.0,.
77390,2050,1042433.4572,33692.0,.
77391,2050,1042433.4572,33692.0,.
77392,2050,1042433.4572,33692.0,.
77394,2050,1042433.4572,33692.0,.
77398,2050,1042433.4572,33692.0,.
77399,2050,1042433.4572,33692.0,.
77407,2050,1042433.4572,33692.0,.
77408,2050,1042433.4572,33692.0,.
77409,2050,1042433.4572,33692.0,.
77410,2050,1042433.4572,33692.0,.
77411,2050,1042433.4572,33692.0,.
77412,2050,1042433.4572,33692.0,.
77413,2050,1042433.4572,33692.0,.
77414,2050,1042433.4572,33692.0,.
77415,2050,1042433.4572,33692.0,.
77416,2050,1042433.4572,33692.0,.
77417,2050,1042433.4572,33692.0,.
77418,2050,1042433.4572,33692.0,.
77419,2050,1042433.4572,33692.0,.
77420,2050,1042433.4572,33692.0,.
77421,2050,1042433.4572,33692.0,.
77422,2050,1042433.4572,33692.0,.
77423,2050,1042433.4572,33692.0,.
77424,2050,1042433.4572,33692.0,.
77431,2050,1042433.4572,33692.0,.
77435,2050,1042433.4572,33692.0,.
77436,2050,1042433.4572,33692.0,.
77438,2050,1042433.4572,33692.0,.
77440,2050,1042433.4572,33692.0,.
77442,2050,1042433.4572,33692.0,.
77443,2050,1042433.4572,33692.0,.
77445,2050,1042433.4572,33692.0,.
77446,2050,1042433.4572,33692.0,.
77447,2050,1042433.4572,33692.0,.
77448,2050,1042433.4572,33692.0,.
77449,2050,1042433.4572,33692.0,.
77450,2050,1042433.4572,33692.0,.
77451,2050,1042433.4572,33692.0,.
77452,2050,1042433.4572,33692.0,.
77453,2050,1042433.4572,33692.0,.
77467,2050,1042433.4572,33692.0,.
77468,2050,1042433.4572,33692.0,.
77469,2050,1042433.4572,33692.0,.
77470,2050,1042433.4572,33692.0,.
77471,2050,1042433.4572,33692.0,.
77472,2050,1042433.4572,33692.0,.
77473,2050,1042433.4572,33692.0,.
77474,2050,1042433.4572,33692.0,.
77475,2050,1042433.4572,33692.0,.
77476,2050,1042433.4572,33692.0,.
77477,2050,1042433.4572,33692.0,.
77478,2050,1042433.4572,33692.0,.
77479,2050,1042433.4572,33692.0,.
77480,2050,1042433.4572,33692.0,.
77481,2050,1042433.4572,33692.0,.
77482,2050,1042433.4572,33692.0,.
77483,2050,1042433.4572,33692.0,.
77484,2050,1042433.4572,33692.0,.
77485,2050,1042433.4572,33692.0,.
77486,2050,1042433.4572,33692.0,.
77487,2050,1042433.4572,33692.0,.
77488,2050,1042433.4572,33692.0,.
77489,2050,1042433.4572,33692.0,.
77490,2050,1042433.4572,33692.0,.
77491,2050,1042433.4572,33692.0,.
77507,2050,1042433.4572,33692.0,.
77508,2050,1042433.4572,33692.0,.
77510,2050,1042433.4572,33692.0,.
77511,2050,1042433.4572,33692.0,.
77512,2050,1042433.4572,33692.0,.
77513,2050,1042433.4572,33692.0,.
77514,2050,1042433.4572,33692.0,.
77515,2050,1042433.4572,33692.0,.
77516,2050,1042433.4572,33692.0,.
