GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
154509,2005,629.9000000000002,.
154510,2013,649.2,.
154511,1962,230.0,.
154511,1963,230.0,.
154512,1952,37.5,.
154513,1958,3.2,.
154514,1922,5.6,.
154515,2015,335.8,.
154516,2015,213.8,.
154518,1958,163.2,.
154517,1958,163.2,.
154518,1959,163.2,.
154517,1959,163.2,.
154519,1953,37.5,.
154520,2003,630.0,.
154521,2001,60.5,.
154522,1967,94.5,.
154523,1967,9.0,.
154524,1965,44.0,.
154525,1965,27.3,.
154526,1957,10.0,.
154527,1957,72.0,.
154528,1958,17.0,.
154528,2012,7.2,.
154529,1963,41.9,.
154530,1963,10.0,.
154531,1963,67.2,.
154532,2016,87.0,.
154533,1976,57.6,.
154533,2004,121.0,.
154534,1966,15.3,.
154535,1966,122.4,.
154536,1966,6.1,.
154537,1966,79.2,.
154538,1982,2.7,.
154539,1963,78.9,.
154539,1968,78.9,.
154540,1961,80.8,.
154540,1962,80.8,.
154541,1971,74.1,.
154542,1965,25.5,.
154543,1968,266.0,.
154543,1983,0.5,.
154544,1972,59.8,.
154544,1976,59.8,.
154544,1992,78.3,.
154544,1994,78.3,.
154545,1968,351.0,.
154546,1968,195.4,.
154546,1969,97.7,.
154547,1971,136.5,.
154547,1989,34.3,.
154548,1924,4.5,.
154549,1955,198.6,.
154550,1963,154.4,.
154551,1949,78.0,.
154551,1950,39.0,.
154552,1955,13.4,.
154553,1944,288.0,.
154553,1948,284.0,.
154553,1949,142.0,.
154554,1967,12.6,.
154554,1968,12.6,.
154555,1942,60.0,.
154555,1943,60.0,.
154556,1967,318.0,.
154556,1968,106.0,.
154557,1964,180.0,.
154558,1964,140.0,.
154559,1969,315.0,.
154560,1969,46.7,.
154561,1986,1.4,.
154562,1964,8.0,.
154564,1973,26.6,.
154563,1973,26.6,.
154564,1977,26.6,.
154563,1977,26.6,.
154565,2013,5.0,.
154566,1967,300.0,.
154567,2015,625.6,.
154568,1968,380.8,.
154570,1973,382.5,.
154569,1973,382.5,.
154571,1973,382.5,.
154570,1975,396.0,.
154569,1975,396.0,.
154571,1975,396.0,.
154570,2010,856.8,.
154569,2010,856.8,.
154571,2010,856.8,.
154572,1973,26.6,.
154573,1906,0.6,.
154573,1908,0.6,.
154574,1932,1.5,.
154575,1908,0.6,.
154576,1909,14.4,.
154577,1973,59.3,.
154578,1983,2.9,.
154579,1983,2.9,.
154580,1983,7.9,.
154581,1984,1.9,.
154582,1984,3.1,.
154583,1985,5.9,.
154584,1985,4.1,.
154585,1983,4.4,.
154586,1959,1.0,.
154586,1963,0.5,.
154587,1968,75.0,.
154587,1974,132.3,.
154588,1953,17.3,.
154588,1954,18.8,.
154588,1957,25.0,.
154589,1927,2.5,.
154589,1939,2.5,.
154589,2006,0.6,.
154590,1925,1.0,.
154591,1993,0.7,.
154591,2000,0.4,.
154591,2007,1.8,.
154592,1945,0.3,.
154592,1946,0.3,.
154592,1951,0.9,.
154592,1964,1.3,.
154593,1952,15.0,.
154594,1939,1.1,.
154594,1942,1.0,.
154594,1958,3.0,.
154594,1962,7.0,.
154594,1970,5.1,.
154595,1941,0.6,.
154595,1951,2.0,.
154595,1967,3.0,.
154596,2004,6.0,.
154597,1983,78.0,.
154598,1999,5.4,.
154599,1966,3.8,.
154600,1967,86.4,.
154601,1950,45.0,.
154602,1970,86.6,.
154602,1971,86.6,.
154603,1959,4.5,.
154604,1943,26.0,.
154605,1951,8.1,.
154606,1954,86.0,.
154607,1954,8.5,.
154608,1954,38.2,.
154609,1962,5.6,.
154610,1962,9.9,.
154611,1965,190.0,.
154611,1976,275.4,.
154612,1985,7.2,.
154613,1985,10.0,.
154614,1986,77.0,.
154615,1983,10.8,.
154616,2002,7.2,.
154617,1983,50.7,.
154618,1989,30.0,.
154619,1984,5.6999999999999975,.
154620,1984,2.4,.
154621,1984,258.2,.
154621,2001,117.8,.
154622,1995,16.8,.
154623,1985,1.4,.
154624,1986,12.7,.
154625,1983,139.5,.
154626,1998,1.2,.
154626,1999,3.5,.
154626,2000,1.4,.
154627,1986,1.8,.
154628,1994,23.9,.
154629,1987,2.9,.
154630,1983,12.1,.
154631,1988,23.4,.
154632,1978,92.4,.
154633,1949,25.0,.
154633,1950,50.0,.
154634,1958,337.5,.
154634,1959,112.5,.
154634,1980,225.0,.
154635,1952,82.80000000000003,.
154636,1983,6.2,.
154636,1984,6.2,.
154637,1937,2.5,.
154638,1948,13.5,.
154639,1949,60.0,.
154640,1967,5.0,.
154641,1921,11.5,.
