hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
154337,2050_M1,2.7479207885304655,5.495841577060931
154337,2050_M8,4.196783826164874,8.393567652329748
154337,2050_M7,4.872933288530467,9.745866577060934
154337,2050_M6,4.863923564814814,9.727847129629628
154337,2050_M5,4.84018974014337,9.68037948028674
154337,2050_M4,4.127500462962962,8.255000925925923
154337,2050_M3,3.3490844982078856,6.698168996415771
154337,2050_M2,2.7768200088943624,5.553640017788725
154337,2050_M12,2.5446290322580647,5.089258064516129
154337,2050_M11,2.289557916666667,4.579115833333334
154337,2050_M10,2.4492405017921146,4.898481003584229
154337,2050_M9,3.227052962962963,6.454105925925926
154338,2050_M10,0.4707575716845878,0.9415151433691756
154338,2050_M1,0.5897733870967742,1.1795467741935484
154338,2050_M2,0.5830011442939245,1.166002288587849
154338,2050_M3,0.663314247311828,1.326628494623656
154338,2050_M4,0.7461631944444446,1.4923263888888891
154338,2050_M5,0.8601874551971326,1.7203749103942652
154338,2050_M6,0.8763333796296296,1.7526667592592593
154338,2050_M7,0.8350361559139786,1.6700723118279572
154338,2050_M8,0.7010078853046596,1.4020157706093193
154338,2050_M9,0.5524691203703703,1.1049382407407407
154338,2050_M11,0.48107546296296294,0.9621509259259259
154338,2050_M12,0.5153037186379928,1.0306074372759857
154341,2050_M3,0.07272544802867384,0.14545089605734768
154341,2050_M1,0.06816164874551972,0.13632329749103944
154341,2050_M11,0.06334157407407408,0.12668314814814816
154341,2050_M10,0.054702240143369184,0.10940448028673837
154341,2050_M9,0.05851537037037038,0.11703074074074075
154341,2050_M8,0.07557549283154123,0.15115098566308247
154341,2050_M12,0.06456263440860216,0.12912526881720432
154341,2050_M7,0.0827108870967742,0.1654217741935484
154341,2050_M6,0.08203203703703706,0.1640640740740741
154341,2050_M5,0.07941948924731183,0.15883897849462367
154341,2050_M4,0.07697148148148147,0.15394296296296295
154341,2050_M2,0.06473202312534208,0.12946404625068417
154342,2050_M12,7.987231182795698,15.974462365591396
154342,2050_M1,7.468145161290323,14.936290322580646
154342,2050_M2,10.441432334428024,20.882864668856048
154342,2050_M3,14.956003584229391,29.912007168458782
154342,2050_M4,14.306111111111113,28.612222222222226
154342,2050_M5,27.117697132616488,54.235394265232976
154342,2050_M6,34.98476851851852,69.96953703703704
154342,2050_M7,27.992338709677423,55.984677419354846
154342,2050_M8,20.282706093189965,40.56541218637993
154342,2050_M9,17.314027777777778,34.628055555555555
154342,2050_M10,9.337813620071683,18.675627240143367
154342,2050_M11,4.630138888888889,9.260277777777778
154358,2050_M12,1.0205197132616488,2.0410394265232976
154358,2050_M1,0.5688620071684589,1.1377240143369178
154358,2050_M2,0.5759510125889435,1.151902025177887
154358,2050_M3,1.5965053763440857,3.1930107526881715
154358,2050_M4,2.028425925925926,4.056851851851852
154358,2050_M5,2.3959229390681003,4.7918458781362006
154358,2050_M6,3.507638888888889,7.015277777777778
154358,2050_M7,3.5599462365591403,7.119892473118281
154358,2050_M8,3.0654569892473114,6.130913978494623
154358,2050_M9,2.6728703703703705,5.345740740740741
154358,2050_M10,1.4724462365591395,2.944892473118279
154358,2050_M11,0.8541203703703705,1.708240740740741
154359,2050_M11,4.15074074074074,8.30148148148148
154359,2050_M1,4.172267025089606,8.344534050179211
154359,2050_M10,5.827016129032258,11.654032258064516
154359,2050_M12,4.972356630824371,9.944713261648742
154359,2050_M9,11.53925925925926,23.07851851851852
154359,2050_M8,11.543279569892473,23.086559139784946
154359,2050_M7,12.45757168458781,24.91514336917562
154359,2050_M6,12.431481481481482,24.862962962962964
154359,2050_M5,10.978046594982079,21.956093189964157
154359,2050_M4,8.024537037037037,16.049074074074074
154359,2050_M3,5.9121415770609325,11.824283154121865
154359,2050_M2,4.264020593869732,8.528041187739465
154362,2050_M2,0.2648245073891626,0.5296490147783252
154362,2050_M1,0.3468189964157707,0.6936379928315414
154362,2050_M12,0.30250896057347665,0.6050179211469533
154362,2050_M11,0.20444444444444443,0.40888888888888886
154362,2050_M10,0.6850358422939068,1.3700716845878136
154362,2050_M9,0.8804166666666668,1.7608333333333337
154362,2050_M8,0.9456093189964159,1.8912186379928317
154362,2050_M7,1.0761648745519712,2.1523297491039424
154362,2050_M6,1.0250925925925927,2.0501851851851853
154362,2050_M5,0.681720430107527,1.363440860215054
154362,2050_M4,0.5962962962962963,1.1925925925925926
154362,2050_M3,0.5211917562724014,1.0423835125448029
154363,2050_M12,2.2769713261648747,4.5539426523297495
154363,2050_M1,2.487275985663082,4.974551971326164
154363,2050_M2,3.1553024083196495,6.310604816639299
154363,2050_M3,3.873835125448028,7.747670250896056
154363,2050_M4,4.443472222222223,8.886944444444445
154363,2050_M5,6.25394265232975,12.5078853046595
154363,2050_M6,7.504814814814815,15.00962962962963
154363,2050_M7,7.34896953405018,14.69793906810036
154363,2050_M8,6.85739247311828,13.71478494623656
154363,2050_M9,6.656898148148148,13.313796296296296
154363,2050_M10,3.512858422939068,7.025716845878136
154363,2050_M11,2.119814814814815,4.23962962962963
154364,2050_M2,4.0751664152298845,8.150332830459769
154364,2050_M12,3.93381370967742,7.86762741935484
154364,2050_M11,3.8281688425925933,7.6563376851851865
154364,2050_M10,3.324571550179212,6.649143100358424
154364,2050_M9,3.6553475925925927,7.310695185185185
154364,2050_M8,4.627509274193549,9.255018548387097
154364,2050_M7,5.054813933691757,10.109627867383514
154364,2050_M6,4.958360833333334,9.916721666666668
154364,2050_M5,4.717702374551973,9.435404749103945
154364,2050_M4,4.761373333333333,9.522746666666666
154364,2050_M3,4.558762410394265,9.11752482078853
154364,2050_M1,4.272254525089606,8.544509050179212
154365,2050_M9,1.4316556481481482,2.8633112962962963
154365,2050_M10,1.2902207437275988,2.5804414874551975
154365,2050_M8,1.8133003584229388,3.6266007168458776
154365,2050_M7,1.9894567204301077,3.9789134408602154
154365,2050_M6,1.975870231481481,3.951740462962962
154365,2050_M5,1.8697753136200714,3.739550627240143
154365,2050_M4,1.8868596296296298,3.7737192592592597
154365,2050_M3,1.7953009408602152,3.5906018817204304
154365,2050_M2,1.6279673183497538,3.2559346366995077
154365,2050_M1,1.6886646953405018,3.3773293906810036
154365,2050_M12,1.5343734318996414,3.0687468637992827
154365,2050_M11,1.4798912962962965,2.959782592592593
154368,2050_M2,56.55303441263,113.10606882526
154368,2050_M3,74.96443387096774,149.92886774193548
154368,2050_M4,86.72609041666665,173.4521808333333
154368,2050_M5,80.0128796594982,160.0257593189964
154368,2050_M6,79.55255564814816,159.10511129629631
154368,2050_M7,73.01828673835125,146.0365734767025
154368,2050_M8,64.64658620071685,129.2931724014337
154368,2050_M9,62.38363074074074,124.76726148148148
154368,2050_M10,52.13837965949821,104.27675931899643
154368,2050_M12,39.73453741039427,79.46907482078853
154368,2050_M11,47.72454643518519,95.44909287037038
154368,2050_M1,46.918854390681005,93.83770878136201
154369,2050_M1,241.9036738351255,483.807347670251
154369,2050_M12,238.99896953405022,477.99793906810044
154369,2050_M11,197.70527777777778,395.41055555555556
154369,2050_M10,177.4684139784946,354.9368279569892
154369,2050_M9,188.77370370370372,377.54740740740743
154369,2050_M8,262.82759856630827,525.6551971326165
154369,2050_M7,270.5722670250896,541.1445340501792
154369,2050_M6,240.67083333333332,481.34166666666664
154369,2050_M5,192.12271505376347,384.24543010752694
154369,2050_M4,185.7160185185185,371.432037037037
154369,2050_M3,196.72670250896059,393.45340501792117
154369,2050_M2,214.03294334975368,428.06588669950736
154370,2050_M2,97.26905959222769,194.53811918445538
154370,2050_M12,87.77092293906809,175.54184587813617
154370,2050_M11,96.89995370370372,193.79990740740743
154370,2050_M10,79.21886200716845,158.4377240143369
