regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
CA_PGE_N-Bio_Solid,2050,19,5291.80414875,120209945
CA_PGE_N-Bio_Solid,2050,20,6164.454014249999,120294813
CA_PGE_S-Bio_Solid,2050,1,1.43559675,208299
CA_PGE_S-Bio_Solid,2050,2,1.9268077499999998,1100781
CA_PGE_S-Bio_Solid,2050,3,2.0785905,5051742
CA_PGE_S-Bio_Solid,2050,4,2.68584225,11844705
CA_PGE_S-Bio_Solid,2050,5,4.7378677499999995,11897210
CA_PGE_S-Bio_Solid,2050,6,5.3972835,17331070
CA_PGE_S-Bio_Solid,2050,7,1871.6157022499997,17343966
CA_SCE_CEN-Bio_Solid,2050,1,0.8012969999999999,47735
CA_SCE_CEN-Bio_Solid,2050,2,1.2641317499999998,481887
CA_SCE_CEN-Bio_Solid,2050,3,1.6506525,1630607
CA_SCE_CEN-Bio_Solid,2050,4,1.8750059999999997,3668111
CA_SCE_CEN-Bio_Solid,2050,5,2.12894325,8091736
CA_SCE_CEN-Bio_Solid,2050,6,2.70540375,11840985
CA_SCE_CEN-Bio_Solid,2050,7,2.75177175,19443012
CA_SCE_CEN-Bio_Solid,2050,8,4.201617,19836717
CA_SCE_CEN-Bio_Solid,2050,9,4.608423749999999,34107070
CA_SCE_CEN-Bio_Solid,2050,10,164.99654325,34171784
CA_SCE_CEN-Bio_Solid,2050,11,641.03868675,34188142
CA_SCE_S-Bio_Solid,2050,1,2.06663625,26427258
CA_SCE_S-Bio_Solid,2050,2,20.734465499999995,26913324
CA_SCE_S-Bio_Solid,2050,3,22.622633249999996,28235097
CA_SCE_SE-Bio_Solid,2050,1,1.620948,114746
CA_SCE_SE-Bio_Solid,2050,2,2.5322482500000003,609061
CA_SCE_SE-Bio_Solid,2050,3,3.7212734999999997,2233697
CA_SCE_SE-Bio_Solid,2050,4,6525.70879275,2233802
CA_SCE_VLY-Bio_Solid,2050,1,1.21824675,5022
CA_SCE_VLY-Bio_Solid,2050,2,1.68748125,180895
CA_SCE_VLY-Bio_Solid,2050,3,1.9510784999999997,1796827
CA_SCE_VLY-Bio_Solid,2050,4,2.3094645000000003,2815872
CA_SCE_VLY-Bio_Solid,2050,5,2.5266937499999997,10238612
CA_SCE_VLY-Bio_Solid,2050,6,8.30385675,10243624
