load_zone,fuel,period,fuel_cost
CA_SCE_SE,DistillateFuelOil,2050,27.080522840700002
CA_SCE_SE,Gas,2050,6.32450411964
CA_SCE_SE,ResidualFuelOil,2050,22.41197009205
CA_SCE_SE,Uranium,2050,1.52849548362
CA_SCE_VLY,Bio_Liquid,2050,0.010499999999999999
CA_SCE_VLY,Coal,2050,2.601272334255
CA_SCE_VLY,DistillateFuelOil,2050,27.080522840700002
CA_SCE_VLY,Gas,2050,6.32450411964
CA_SCE_VLY,ResidualFuelOil,2050,22.41197009205
CA_SCE_VLY,Uranium,2050,1.5284954836200002
CA_SDGE,Bio_Liquid,2050,0.010499999999999999
CA_SDGE,Coal,2050,2.601272334255
CA_SDGE,DistillateFuelOil,2050,27.080522840700002
CA_SDGE,Gas,2050,6.32450411964
CA_SDGE,ResidualFuelOil,2050,22.41197009205
CA_SDGE,Uranium,2050,1.52849548362
CA_SMUD,Bio_Liquid,2050,0.010499999999999999
CA_SMUD,Coal,2050,2.601272334255
CA_SMUD,DistillateFuelOil,2050,27.080522840700002
CA_SMUD,Gas,2050,6.32450411964
CA_SMUD,ResidualFuelOil,2050,22.41197009205
CA_SMUD,Uranium,2050,1.52849548362
CO_DEN,Bio_Liquid,2050,0.010499999999999999
CO_DEN,Coal,2050,2.0594476765800005
CO_DEN,DistillateFuelOil,2050,28.372820719950006
CO_DEN,Gas,2050,6.3116225284350005
CO_DEN,ResidualFuelOil,2050,18.99737882805
CO_DEN,Uranium,2050,1.52849548362
CO_E,Bio_Liquid,2050,0.010499999999999999
CO_E,Coal,2050,2.05944767658
CO_E,DistillateFuelOil,2050,28.37282071995
CO_E,Gas,2050,6.3116225284350005
CO_E,ResidualFuelOil,2050,18.99737882805
CO_E,Uranium,2050,1.52849548362
CO_NW,Bio_Liquid,2050,0.010499999999999999
CO_NW,Coal,2050,2.0594476765800005
CO_NW,DistillateFuelOil,2050,28.372820719950006
CO_NW,Gas,2050,6.3116225284350005
CO_NW,ResidualFuelOil,2050,18.99737882805
CO_NW,Uranium,2050,1.52849548362
CO_SW,Bio_Liquid,2050,0.010499999999999999
CO_SW,Coal,2050,2.0594476765800005
CO_SW,DistillateFuelOil,2050,28.37282071995
CO_SW,Gas,2050,6.3116225284350005
CO_SW,ResidualFuelOil,2050,18.997378828050003
CO_SW,Uranium,2050,1.52849548362
ID_E,Bio_Liquid,2050,0.010499999999999999
ID_E,Coal,2050,2.0594476765800005
ID_E,DistillateFuelOil,2050,28.37282071995
ID_E,Gas,2050,6.3116225284350005
ID_E,ResidualFuelOil,2050,18.99737882805
ID_E,Uranium,2050,1.52849548362
ID_S_OR_E,Bio_Liquid,2050,0.010499999999999999
ID_S_OR_E,Coal,2050,2.0594476765800005
ID_S_OR_E,DistillateFuelOil,2050,28.37282071995
ID_S_OR_E,Gas,2050,6.3116225284350005
ID_S_OR_E,ResidualFuelOil,2050,18.99737882805
ID_S_OR_E,Uranium,2050,1.52849548362
MEX_BAJA,Bio_Liquid,2050,0.010499999999999999
MEX_BAJA,Coal,2050,2.601272334255
MEX_BAJA,DistillateFuelOil,2050,27.080522840699995
MEX_BAJA,Gas,2050,6.32450411964
MEX_BAJA,ResidualFuelOil,2050,22.41197009205
MEX_BAJA,Uranium,2050,1.52849548362
MT_NE,Bio_Liquid,2050,0.010499999999999999
MT_NE,Coal,2050,2.0594476765800005
MT_NE,DistillateFuelOil,2050,28.37282071995
MT_NE,Gas,2050,6.3116225284350005
MT_NE,ResidualFuelOil,2050,18.99737882805
MT_NE,Uranium,2050,1.52849548362
MT_NW,Bio_Liquid,2050,0.010499999999999999
MT_NW,Coal,2050,2.0594476765800005
MT_NW,DistillateFuelOil,2050,28.37282071995
MT_NW,Gas,2050,6.3116225284350005
