timestamp,time_row,time_column
2050020916,2050,year-round
2050020920,2050,year-round
2050021000,2050,year-round
2050021004,2050,year-round
2050021008,2050,year-round
2050021012,2050,year-round
2050021016,2050,year-round
2050021020,2050,year-round
2050021100,2050,year-round
2050021104,2050,year-round
2050021108,2050,year-round
2050021112,2050,year-round
2050021116,2050,year-round
2050021120,2050,year-round
2050021200,2050,year-round
2050021204,2050,year-round
2050021208,2050,year-round
2050021212,2050,year-round
2050021216,2050,year-round
2050021220,2050,year-round
2050021300,2050,year-round
2050021304,2050,year-round
2050021308,2050,year-round
2050021312,2050,year-round
2050021316,2050,year-round
2050021320,2050,year-round
2050021400,2050,year-round
2050021404,2050,year-round
2050021408,2050,year-round
2050021412,2050,year-round
2050021416,2050,year-round
2050021420,2050,year-round
2050021500,2050,year-round
2050021504,2050,year-round
2050021508,2050,year-round
2050021512,2050,year-round
2050021516,2050,year-round
2050021520,2050,year-round
2050021600,2050,year-round
2050021604,2050,year-round
2050021608,2050,year-round
2050021612,2050,year-round
2050021616,2050,year-round
2050021620,2050,year-round
2050021700,2050,year-round
2050021704,2050,year-round
2050021708,2050,year-round
2050021712,2050,year-round
2050021716,2050,year-round
2050021720,2050,year-round
2050021800,2050,year-round
2050021804,2050,year-round
2050021808,2050,year-round
2050021812,2050,year-round
2050021816,2050,year-round
2050021820,2050,year-round
2050021900,2050,year-round
2050021904,2050,year-round
2050021908,2050,year-round
2050021912,2050,year-round
2050021916,2050,year-round
2050021920,2050,year-round
2050022000,2050,year-round
2050022004,2050,year-round
2050022008,2050,year-round
2050022012,2050,year-round
2050022016,2050,year-round
2050022020,2050,year-round
2050022100,2050,year-round
2050022104,2050,year-round
2050022108,2050,year-round
2050022112,2050,year-round
2050022116,2050,year-round
2050022120,2050,year-round
2050022200,2050,year-round
2050022204,2050,year-round
2050022208,2050,year-round
2050022212,2050,year-round
2050022216,2050,year-round
2050022220,2050,year-round
2050022300,2050,year-round
2050022304,2050,year-round
2050022308,2050,year-round
2050022312,2050,year-round
2050022316,2050,year-round
2050022320,2050,year-round
2050022400,2050,year-round
2050022404,2050,year-round
2050022408,2050,year-round
2050022412,2050,year-round
2050022416,2050,year-round
2050022420,2050,year-round
2050022500,2050,year-round
2050022504,2050,year-round
2050022508,2050,year-round
2050022512,2050,year-round
2050022516,2050,year-round
2050022520,2050,year-round
2050022600,2050,year-round
