timepoint,timestamp,hours_per_year,timeseries,period
351152,2050012208,4.0137,2050_2050-year-round,2050
351156,2050012212,4.0137,2050_2050-year-round,2050
351160,2050012216,4.0137,2050_2050-year-round,2050
351164,2050012220,4.0137,2050_2050-year-round,2050
351168,2050012300,4.0137,2050_2050-year-round,2050
351172,2050012304,4.0137,2050_2050-year-round,2050
351176,2050012308,4.0137,2050_2050-year-round,2050
351180,2050012312,4.0137,2050_2050-year-round,2050
351184,2050012316,4.0137,2050_2050-year-round,2050
351188,2050012320,4.0137,2050_2050-year-round,2050
351192,2050012400,4.0137,2050_2050-year-round,2050
351196,2050012404,4.0137,2050_2050-year-round,2050
351200,2050012408,4.0137,2050_2050-year-round,2050
351204,2050012412,4.0137,2050_2050-year-round,2050
351208,2050012416,4.0137,2050_2050-year-round,2050
351212,2050012420,4.0137,2050_2050-year-round,2050
351216,2050012500,4.0137,2050_2050-year-round,2050
351220,2050012504,4.0137,2050_2050-year-round,2050
351224,2050012508,4.0137,2050_2050-year-round,2050
351228,2050012512,4.0137,2050_2050-year-round,2050
351232,2050012516,4.0137,2050_2050-year-round,2050
351236,2050012520,4.0137,2050_2050-year-round,2050
351240,2050012600,4.0137,2050_2050-year-round,2050
351244,2050012604,4.0137,2050_2050-year-round,2050
351248,2050012608,4.0137,2050_2050-year-round,2050
351252,2050012612,4.0137,2050_2050-year-round,2050
351256,2050012616,4.0137,2050_2050-year-round,2050
351260,2050012620,4.0137,2050_2050-year-round,2050
351264,2050012700,4.0137,2050_2050-year-round,2050
351268,2050012704,4.0137,2050_2050-year-round,2050
351272,2050012708,4.0137,2050_2050-year-round,2050
351276,2050012712,4.0137,2050_2050-year-round,2050
351280,2050012716,4.0137,2050_2050-year-round,2050
351284,2050012720,4.0137,2050_2050-year-round,2050
351288,2050012800,4.0137,2050_2050-year-round,2050
351292,2050012804,4.0137,2050_2050-year-round,2050
351296,2050012808,4.0137,2050_2050-year-round,2050
351300,2050012812,4.0137,2050_2050-year-round,2050
351304,2050012816,4.0137,2050_2050-year-round,2050
351308,2050012820,4.0137,2050_2050-year-round,2050
351312,2050012900,4.0137,2050_2050-year-round,2050
351316,2050012904,4.0137,2050_2050-year-round,2050
351320,2050012908,4.0137,2050_2050-year-round,2050
351324,2050012912,4.0137,2050_2050-year-round,2050
351328,2050012916,4.0137,2050_2050-year-round,2050
351332,2050012920,4.0137,2050_2050-year-round,2050
351336,2050013000,4.0137,2050_2050-year-round,2050
351340,2050013004,4.0137,2050_2050-year-round,2050
351344,2050013008,4.0137,2050_2050-year-round,2050
351348,2050013012,4.0137,2050_2050-year-round,2050
351352,2050013016,4.0137,2050_2050-year-round,2050
351356,2050013020,4.0137,2050_2050-year-round,2050
351360,2050013100,4.0137,2050_2050-year-round,2050
351364,2050013104,4.0137,2050_2050-year-round,2050
351368,2050013108,4.0137,2050_2050-year-round,2050
