gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
Bio_Gas,ID_S_OR_E,Bio_Gas,2050,111.89,1.0272e+06,0,0,0,0
Bio_Gas,MEX_BAJA,Bio_Gas,2050,137.66,1.2637e+06,0,0,0,0
Bio_Gas,MT_NE,Bio_Gas,2050,47.425,4.3536e+05,0,0,0,0
Bio_Gas,MT_NW,Bio_Gas,2050,37.632,3.4546e+05,0,0,0,0
Bio_Gas,MT_SE,Bio_Gas,2050,2.5581,23483,0,0,0,0
Bio_Gas,MT_SW,Bio_Gas,2050,9.7492,89497,0,0,0,0
Bio_Gas,NM_N,Bio_Gas,2050,144.59,1.3273e+06,0,0,0,0
Bio_Gas,NM_S_TX_EPE,Bio_Gas,2050,145.12,1.3322e+06,0,0,0,0
Bio_Gas,NV_N,Bio_Gas,2050,108.42,9.9528e+05,0,0,0,0
Bio_Gas,NV_S,Bio_Gas,2050,197.25,1.8107e+06,0,0,0,0
Bio_Gas,OR_E,Bio_Gas,2050,25.283,2.321e+05,0,0,0,0
Bio_Gas,OR_PDX,Bio_Gas,2050,131.61,1.2081e+06,0,0,0,0
Bio_Gas,OR_W,Bio_Gas,2050,215.07,1.9743e+06,0,0,0,0
Bio_Gas,OR_WA_BPA,Bio_Gas,2050,434.87,3.9921e+06,0,0,0,0
Bio_Gas,UT_N,Bio_Gas,2050,265.98,2.4416e+06,0,0,0,0
Bio_Gas,UT_S,Bio_Gas,2050,74.176,6.8093e+05,0,0,0,0
Bio_Gas,WA_ID_AVA,Bio_Gas,2050,64.73,5.9422e+05,0,0,0,0
Bio_Gas,WA_N_CEN,Bio_Gas,2050,44.475,4.0827e+05,0,0,0,0
Bio_Gas,WA_SEATAC,Bio_Gas,2050,109.15,1.002e+06,0,0,0,0
Bio_Gas,WA_W,Bio_Gas,2050,639.47,5.8703e+06,0,0,0,0
Bio_Gas,WY_NE,Bio_Gas,2050,2.8921,26549,0,0,0,0
Bio_Gas,WY_NW,Bio_Gas,2050,1.4165,13003,0,0,0,0
Bio_Gas,WY_SE,Bio_Gas,2050,39.527,3.6286e+05,0,0,0,0
Bio_Gas,WY_SW,Bio_Gas,2050,1.0823,9935.3,0,0,0,0
Bio_Gas_Internal_Combustion_Engine_Cogen,CA_PGE_CEN,Bio_Gas,2050,0,1.8893e-05,0,0,0,0
Bio_Gas_Internal_Combustion_Engine_Cogen,CA_SCE_CEN,Bio_Gas,2050,0,6.3153e-05,0,0,0,0
Bio_Gas_Internal_Combustion_Engine_Cogen,CA_SCE_S,Bio_Gas,2050,0,3.5015e-05,0,0,0,0
Bio_Gas_Internal_Combustion_Engine_Cogen,CA_SDGE,Bio_Gas,2050,0,4.5483e-05,0,0,0,0
Bio_Gas_Internal_Combustion_Engine_Cogen,CO_DEN,Bio_Gas,2050,0,1.2873e-05,0,0,0,0
Bio_Gas_Internal_Combustion_Engine_Cogen,NM_N,Bio_Gas,2050,0,4.6289e-05,0,0,0,0
Bio_Liquid_Steam_Turbine_Cogen,CA_PGE_N,Bio_Liquid,2050,0,6.7424e-05,0,0,0,0
Bio_Liquid_Steam_Turbine_Cogen,MT_NW,Bio_Liquid,2050,0,3.2698e-05,0,0,0,0
Bio_Liquid_Steam_Turbine_Cogen,OR_W,Bio_Liquid,2050,0,5.0346e-05,0,0,0,0
Bio_Liquid_Steam_Turbine_Cogen,WA_ID_AVA,Bio_Liquid,2050,0,0.0060372,0,0,0,0
Bio_Liquid_Steam_Turbine_Cogen,WA_W,Bio_Liquid,2050,0,0.00028374,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,CA_PGE_CEN,Bio_Solid,2050,0,8.5031e-05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,CA_PGE_N,Bio_Solid,2050,209.59,3.5305e+06,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,CA_SCE_S,Bio_Solid,2050,0,1.3977e-05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,CA_SCE_VLY,Bio_Solid,2050,0,6.7452e-05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,ID_S_OR_E,Bio_Solid,2050,0,5.6455e-05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,MT_NW,Bio_Solid,2050,19.432,3.2733e+05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,OR_E,Bio_Solid,2050,0,9.2981e-05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,OR_W,Bio_Solid,2050,0,0.00065438,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,OR_WA_BPA,Bio_Solid,2050,0,9.632e-05,0,0,0,0
