TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,existing_trans_cap,BuildTx,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
37-40,2050,OR_E,OR_WA_BPA,1147,429.94,0.97328,0.59,10167,0,10167,5998.5,0.0072058
38-39,2050,OR_PDX,OR_W,1667,184.48,0.98854,0.59,6403,594.27,6997.3,4128.4,6.727e+06
38-40,2050,OR_PDX,OR_WA_BPA,1686,145.57,0.99095,0.59,7152,0,7152,4219.7,0.0020749
38-46,2050,OR_PDX,WA_W,1701,318.42,0.98021,0.59,8834,0,8834,5212.1,0.015266
39-40,2050,OR_W,OR_WA_BPA,19,309.42,0.98077,0.59,12062,0,12062,7116.6,0.0026779
39-46,2050,OR_W,WA_W,35,454.43,0.97176,0.59,170,0,170,100.3,0.00089459
40-43,2050,OR_WA_BPA,WA_ID_AVA,933,424.2,0.97364,0.59,7536,0,7536,4446.2,0.0042734
40-44,2050,OR_WA_BPA,WA_N_CEN,967,250.81,0.98442,0.59,14989,0,14989,8843.5,0.0040321
40-46,2050,OR_WA_BPA,WA_W,966,267.14,0.9834,0.59,0,0,0,0,0.2418
41-42,2050,UT_N,UT_S,331,186.15,0.98843,0.59,8248,96.981,8345,4923.5,1.3962e+06
41-50,2050,UT_N,WY_SW,312,420.68,0.97386,0.59,2413,0,2413,1423.7,0.0037236
43-44,2050,WA_ID_AVA,WA_N_CEN,85,290.67,0.98194,0.59,5863,0,5863,3459.2,0.017022
44-45,2050,WA_N_CEN,WA_SEATAC,1773,138.93,0.99137,0.59,2013,.,2013,1187.7,0
44-46,2050,WA_N_CEN,WA_W,1800,124.39,0.99227,0.59,14819,0,14819,8743.2,0.0035464
45-46,2050,WA_SEATAC,WA_W,427,14.535,0.9991,0.59,23515,0,23515,13874,0.0015967
47-48,2050,WY_NE,WY_NW,141,309.46,0.98077,0.59,0,1.4059e-05,1.4059e-05,0,0.30373
47-49,2050,WY_NE,WY_SE,101,334.82,0.9792,0.59,1648,0,1648,972.32,0.00063755
48-49,2050,WY_NW,WY_SE,2111,365.98,0.97726,0.59,914,0,914,539.26,0.0013867
48-50,2050,WY_NW,WY_SW,2126,324.52,0.97984,0.59,380,0,380,224.2,0.00058209
49-50,2050,WY_SE,WY_SW,165,468.25,0.9709,0.59,804,0,804,474.36,0.00033732
