RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
AZ_APS_E-Bio_Gas,2050,1,2.5063e+05
AZ_APS_E-Bio_Solid,2050,1,0
AZ_APS_E-Bio_Solid,2050,2,0
AZ_APS_E-Bio_Solid,2050,3,0
AZ_APS_E-Bio_Solid,2050,4,0
AZ_APS_E-Bio_Solid,2050,5,0
AZ_APS_E-Bio_Solid,2050,6,0
AZ_APS_E-Bio_Solid,2050,7,0
AZ_APS_E_Bio_Liquid,2050,0,0
AZ_APS_E_Coal,2050,0,0
AZ_APS_E_DistillateFuelOil,2050,0,0
AZ_APS_E_Gas,2050,0,0
AZ_APS_E_ResidualFuelOil,2050,0,0
AZ_APS_E_Uranium,2050,0,0
AZ_APS_N-Bio_Gas,2050,1,7.0141e+05
AZ_APS_N-Bio_Solid,2050,1,0
AZ_APS_N-Bio_Solid,2050,2,0
AZ_APS_N-Bio_Solid,2050,3,0
AZ_APS_N-Bio_Solid,2050,4,0
AZ_APS_N-Bio_Solid,2050,5,0
AZ_APS_N-Bio_Solid,2050,6,0
AZ_APS_N-Bio_Solid,2050,7,0
AZ_APS_N_Bio_Liquid,2050,0,0
AZ_APS_N_Coal,2050,0,0
AZ_APS_N_DistillateFuelOil,2050,0,0
AZ_APS_N_Gas,2050,0,0
AZ_APS_N_ResidualFuelOil,2050,0,0
AZ_APS_N_Uranium,2050,0,0
AZ_APS_SW-Bio_Gas,2050,1,4.2039e+06
AZ_APS_SW-Bio_Solid,2050,1,0
AZ_APS_SW-Bio_Solid,2050,2,0
AZ_APS_SW-Bio_Solid,2050,3,0
AZ_APS_SW-Bio_Solid,2050,4,0
AZ_APS_SW-Bio_Solid,2050,5,0
AZ_APS_SW-Bio_Solid,2050,6,0
AZ_APS_SW-Bio_Solid,2050,7,0
AZ_APS_SW-Bio_Solid,2050,8,0
AZ_APS_SW-Bio_Solid,2050,9,0
AZ_APS_SW_Bio_Liquid,2050,0,0
AZ_APS_SW_Coal,2050,0,0
AZ_APS_SW_DistillateFuelOil,2050,0,0
AZ_APS_SW_Gas,2050,0,0
AZ_APS_SW_ResidualFuelOil,2050,0,0
AZ_APS_SW_Uranium,2050,0,3.7259e+08
AZ_NM_N-Bio_Gas,2050,1,2.8541e+05
AZ_NM_N-Bio_Solid,2050,1,0
AZ_NM_N-Bio_Solid,2050,2,0
AZ_NM_N-Bio_Solid,2050,3,0
AZ_NM_N-Bio_Solid,2050,4,0
AZ_NM_N-Bio_Solid,2050,5,0
AZ_NM_N-Bio_Solid,2050,6,0
AZ_NM_N_Bio_Liquid,2050,0,0
AZ_NM_N_Coal,2050,0,0
AZ_NM_N_DistillateFuelOil,2050,0,0
AZ_NM_N_Gas,2050,0,0
AZ_NM_N_ResidualFuelOil,2050,0,0
AZ_NM_N_Uranium,2050,0,0
AZ_NW-Bio_Gas,2050,1,17675
AZ_NW-Bio_Solid,2050,1,0
AZ_NW-Bio_Solid,2050,2,0
AZ_NW-Bio_Solid,2050,3,0
AZ_NW-Bio_Solid,2050,4,0
AZ_NW-Bio_Solid,2050,5,0
AZ_NW-Bio_Solid,2050,6,0
AZ_NW-Bio_Solid,2050,7,0
AZ_NW-Bio_Solid,2050,8,0
AZ_NW_Bio_Liquid,2050,0,0
AZ_NW_Coal,2050,0,0
AZ_NW_DistillateFuelOil,2050,0,0
AZ_NW_Gas,2050,0,0
AZ_NW_ResidualFuelOil,2050,0,0
AZ_NW_Uranium,2050,0,0
AZ_PHX-Bio_Gas,2050,1,1.6591e+06
AZ_PHX-Bio_Solid,2050,1,0
AZ_PHX-Bio_Solid,2050,2,0
AZ_PHX-Bio_Solid,2050,3,0
AZ_PHX-Bio_Solid,2050,4,0
AZ_PHX-Bio_Solid,2050,5,0
AZ_PHX-Bio_Solid,2050,6,0
AZ_PHX_Bio_Liquid,2050,0,0
AZ_PHX_Coal,2050,0,0
AZ_PHX_DistillateFuelOil,2050,0,0
AZ_PHX_Gas,2050,0,0
AZ_PHX_ResidualFuelOil,2050,0,0
AZ_PHX_Uranium,2050,0,0
AZ_SE-Bio_Gas,2050,1,1.7079e+06
AZ_SE-Bio_Solid,2050,1,0
AZ_SE-Bio_Solid,2050,2,0
AZ_SE-Bio_Solid,2050,3,0
AZ_SE-Bio_Solid,2050,4,0
AZ_SE-Bio_Solid,2050,5,0
AZ_SE-Bio_Solid,2050,6,0
AZ_SE_Bio_Liquid,2050,0,0
AZ_SE_Coal,2050,0,0
AZ_SE_DistillateFuelOil,2050,0,0
AZ_SE_Gas,2050,0,0
AZ_SE_ResidualFuelOil,2050,0,0
AZ_SE_Uranium,2050,0,0
CAN_ALB-Bio_Gas,2050,1,7.6764e+06
CAN_ALB-Bio_Solid,2050,1,0
CAN_ALB-Bio_Solid,2050,2,0
CAN_ALB-Bio_Solid,2050,3,0
CAN_ALB-Bio_Solid,2050,4,0
CAN_ALB-Bio_Solid,2050,5,0
CAN_ALB-Bio_Solid,2050,6,0
CAN_ALB-Bio_Solid,2050,7,0
CAN_ALB-Bio_Solid,2050,8,0
CAN_ALB-Bio_Solid,2050,9,0
CAN_ALB_Bio_Liquid,2050,0,0
CAN_ALB_Coal,2050,0,0
CAN_ALB_DistillateFuelOil,2050,0,0
CAN_ALB_Gas,2050,0,0
CAN_ALB_ResidualFuelOil,2050,0,0
CAN_ALB_Uranium,2050,0,0
CAN_BC-Bio_Gas,2050,1,9.3474e+06
CAN_BC-Bio_Solid,2050,1,0
CAN_BC-Bio_Solid,2050,2,0
CAN_BC-Bio_Solid,2050,3,0
CAN_BC-Bio_Solid,2050,4,0
CAN_BC-Bio_Solid,2050,5,0
CAN_BC-Bio_Solid,2050,6,0
CAN_BC-Bio_Solid,2050,7,0
CAN_BC-Bio_Solid,2050,8,0
CAN_BC-Bio_Solid,2050,9,0
CAN_BC_Bio_Liquid,2050,0,0
CAN_BC_Coal,2050,0,0
CAN_BC_DistillateFuelOil,2050,0,0
CAN_BC_Gas,2050,0,0
CAN_BC_ResidualFuelOil,2050,0,0
CAN_BC_Uranium,2050,0,0
CA_IID-Bio_Gas,2050,1,1.6215e+06
CA_IID-Bio_Solid,2050,1,0
CA_IID-Bio_Solid,2050,2,0
CA_IID-Bio_Solid,2050,3,0
CA_IID-Bio_Solid,2050,4,0
CA_IID_Bio_Liquid,2050,0,0
CA_IID_Coal,2050,0,0
CA_IID_DistillateFuelOil,2050,0,0
CA_IID_Gas,2050,0,0
CA_IID_ResidualFuelOil,2050,0,0
CA_IID_Uranium,2050,0,0
CA_LADWP-Bio_Gas,2050,1,2.7419e+06
CA_LADWP-Bio_Solid,2050,1,0
CA_LADWP-Bio_Solid,2050,2,0
CA_LADWP-Bio_Solid,2050,3,0
CA_LADWP_Bio_Liquid,2050,0,0
CA_LADWP_Coal,2050,0,0
CA_LADWP_DistillateFuelOil,2050,0,0
CA_LADWP_Gas,2050,0,0
CA_LADWP_ResidualFuelOil,2050,0,0
CA_LADWP_Uranium,2050,0,0
CA_PGE_BAY-Bio_Gas,2050,1,1.0045e+07
CA_PGE_BAY-Bio_Solid,2050,1,0
CA_PGE_BAY-Bio_Solid,2050,2,0
CA_PGE_BAY-Bio_Solid,2050,3,0
CA_PGE_BAY-Bio_Solid,2050,4,0
CA_PGE_BAY-Bio_Solid,2050,5,0
CA_PGE_BAY-Bio_Solid,2050,6,0
CA_PGE_BAY-Bio_Solid,2050,7,0
CA_PGE_BAY_Bio_Liquid,2050,0,0
CA_PGE_BAY_Coal,2050,0,0
CA_PGE_BAY_DistillateFuelOil,2050,0,0
CA_PGE_BAY_Gas,2050,0,0
CA_PGE_BAY_ResidualFuelOil,2050,0,0
CA_PGE_BAY_Uranium,2050,0,0
CA_PGE_CEN-Bio_Gas,2050,1,7.6012e+06
CA_PGE_CEN-Bio_Solid,2050,1,1.48e-05
CA_PGE_CEN-Bio_Solid,2050,2,0
CA_PGE_CEN-Bio_Solid,2050,3,0
CA_PGE_CEN-Bio_Solid,2050,4,0
CA_PGE_CEN-Bio_Solid,2050,5,0
CA_PGE_CEN-Bio_Solid,2050,6,0
CA_PGE_CEN-Bio_Solid,2050,7,0
CA_PGE_CEN-Bio_Solid,2050,8,0
CA_PGE_CEN-Bio_Solid,2050,9,0
CA_PGE_CEN_Bio_Liquid,2050,0,0
CA_PGE_CEN_Coal,2050,0,0
CA_PGE_CEN_DistillateFuelOil,2050,0,0
CA_PGE_CEN_Gas,2050,0,0
CA_PGE_CEN_ResidualFuelOil,2050,0,0
CA_PGE_CEN_Uranium,2050,0,0
CA_PGE_N-Bio_Gas,2050,1,7.2256e+06
CA_PGE_N-Bio_Solid,2050,1,3.1755e+06
CA_PGE_N-Bio_Solid,2050,2,3.4609e-05
CA_PGE_N-Bio_Solid,2050,3,1.5893e-05
CA_PGE_N-Bio_Solid,2050,4,0
CA_PGE_N-Bio_Solid,2050,5,0
