RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
CA_PGE_N-Bio_Solid,2050,6,0
CA_PGE_N-Bio_Solid,2050,7,0
CA_PGE_N-Bio_Solid,2050,8,0
CA_PGE_N-Bio_Solid,2050,9,0
CA_PGE_N-Bio_Solid,2050,10,0
CA_PGE_N-Bio_Solid,2050,11,0
CA_PGE_N-Bio_Solid,2050,12,0
CA_PGE_N-Bio_Solid,2050,13,0
CA_PGE_N-Bio_Solid,2050,14,0
CA_PGE_N-Bio_Solid,2050,15,0
CA_PGE_N-Bio_Solid,2050,16,0
CA_PGE_N-Bio_Solid,2050,17,0
CA_PGE_N-Bio_Solid,2050,18,0
CA_PGE_N-Bio_Solid,2050,19,0
CA_PGE_N-Bio_Solid,2050,20,0
CA_PGE_N_Bio_Liquid,2050,0,3.1277e-05
CA_PGE_N_Coal,2050,0,0
CA_PGE_N_DistillateFuelOil,2050,0,0
CA_PGE_N_Gas,2050,0,0
CA_PGE_N_ResidualFuelOil,2050,0,0
CA_PGE_N_Uranium,2050,0,0
CA_PGE_S-Bio_Gas,2050,1,3.9378e+06
CA_PGE_S-Bio_Solid,2050,1,0
CA_PGE_S-Bio_Solid,2050,2,0
CA_PGE_S-Bio_Solid,2050,3,0
CA_PGE_S-Bio_Solid,2050,4,0
CA_PGE_S-Bio_Solid,2050,5,0
CA_PGE_S-Bio_Solid,2050,6,0
CA_PGE_S-Bio_Solid,2050,7,0
CA_PGE_S_Bio_Liquid,2050,0,0
CA_PGE_S_Coal,2050,0,0
CA_PGE_S_DistillateFuelOil,2050,0,0
CA_PGE_S_Gas,2050,0,0
CA_PGE_S_ResidualFuelOil,2050,0,0
CA_PGE_S_Uranium,2050,0,0
CA_SCE_CEN-Bio_Gas,2050,1,2.1901e+07
CA_SCE_CEN-Bio_Solid,2050,1,0
CA_SCE_CEN-Bio_Solid,2050,2,0
CA_SCE_CEN-Bio_Solid,2050,3,0
CA_SCE_CEN-Bio_Solid,2050,4,0
CA_SCE_CEN-Bio_Solid,2050,5,0
CA_SCE_CEN-Bio_Solid,2050,6,0
CA_SCE_CEN-Bio_Solid,2050,7,0
CA_SCE_CEN-Bio_Solid,2050,8,0
CA_SCE_CEN-Bio_Solid,2050,9,0
CA_SCE_CEN-Bio_Solid,2050,10,0
CA_SCE_CEN-Bio_Solid,2050,11,0
CA_SCE_CEN_Bio_Liquid,2050,0,0
CA_SCE_CEN_Coal,2050,0,0
CA_SCE_CEN_DistillateFuelOil,2050,0,0
CA_SCE_CEN_Gas,2050,0,0
CA_SCE_CEN_ResidualFuelOil,2050,0,0
CA_SCE_CEN_Uranium,2050,0,0
CA_SCE_S-Bio_Gas,2050,1,1.1722e+07
CA_SCE_S-Bio_Solid,2050,1,1.4123e-05
CA_SCE_S-Bio_Solid,2050,2,0
CA_SCE_S-Bio_Solid,2050,3,0
CA_SCE_SE-Bio_Gas,2050,1,2.3434e+06
CA_SCE_SE-Bio_Solid,2050,1,0
CA_SCE_SE-Bio_Solid,2050,2,0
CA_SCE_SE-Bio_Solid,2050,3,0
CA_SCE_SE-Bio_Solid,2050,4,0
CA_SCE_SE_Bio_Liquid,2050,0,0
CA_SCE_SE_Coal,2050,0,0
CA_SCE_SE_DistillateFuelOil,2050,0,0
CA_SCE_SE_Gas,2050,0,0
CA_SCE_SE_ResidualFuelOil,2050,0,0
CA_SCE_SE_Uranium,2050,0,0
CA_SCE_S_Bio_Liquid,2050,0,0
CA_SCE_S_Coal,2050,0,0
CA_SCE_S_DistillateFuelOil,2050,0,0
CA_SCE_S_Gas,2050,0,0
CA_SCE_S_ResidualFuelOil,2050,0,0
CA_SCE_S_Uranium,2050,0,0
CA_SCE_VLY-Bio_Gas,2050,1,1.4932e+06
CA_SCE_VLY-Bio_Solid,2050,1,1.3708e-05
CA_SCE_VLY-Bio_Solid,2050,2,1.1684e-05
CA_SCE_VLY-Bio_Solid,2050,3,1.0111e-05
CA_SCE_VLY-Bio_Solid,2050,4,0
CA_SCE_VLY-Bio_Solid,2050,5,0
CA_SCE_VLY-Bio_Solid,2050,6,0
CA_SCE_VLY-Bio_Solid,2050,7,0
CA_SCE_VLY-Bio_Solid,2050,8,0
CA_SCE_VLY-Bio_Solid,2050,9,0
CA_SCE_VLY_Bio_Liquid,2050,0,0
CA_SCE_VLY_Coal,2050,0,0
CA_SCE_VLY_DistillateFuelOil,2050,0,0
CA_SCE_VLY_Gas,2050,0,0
CA_SCE_VLY_ResidualFuelOil,2050,0,0
CA_SCE_VLY_Uranium,2050,0,0
CA_SDGE-Bio_Gas,2050,1,5.9739e+06
CA_SDGE-Bio_Solid,2050,1,0
CA_SDGE-Bio_Solid,2050,2,0
CA_SDGE-Bio_Solid,2050,3,0
CA_SDGE_Bio_Liquid,2050,0,0
CA_SDGE_Coal,2050,0,0
CA_SDGE_DistillateFuelOil,2050,0,0
CA_SDGE_Gas,2050,0,0
CA_SDGE_ResidualFuelOil,2050,0,0
CA_SDGE_Uranium,2050,0,0
CA_SMUD-Bio_Gas,2050,1,1.6886e+06
CA_SMUD-Bio_Solid,2050,1,0
CA_SMUD-Bio_Solid,2050,2,0
CA_SMUD-Bio_Solid,2050,3,0
CA_SMUD-Bio_Solid,2050,4,0
CA_SMUD-Bio_Solid,2050,5,0
CA_SMUD-Bio_Solid,2050,6,0
CA_SMUD-Bio_Solid,2050,7,0
CA_SMUD-Bio_Solid,2050,8,0
CA_SMUD-Bio_Solid,2050,9,0
CA_SMUD-Bio_Solid,2050,10,0
CA_SMUD-Bio_Solid,2050,11,0
CA_SMUD_Bio_Liquid,2050,0,0
CA_SMUD_Coal,2050,0,0
CA_SMUD_DistillateFuelOil,2050,0,0
CA_SMUD_Gas,2050,0,0
CA_SMUD_ResidualFuelOil,2050,0,0
CA_SMUD_Uranium,2050,0,0
CO_DEN-Bio_Gas,2050,1,8.5008e+06
CO_DEN-Bio_Solid,2050,1,0
CO_DEN-Bio_Solid,2050,2,0
CO_DEN-Bio_Solid,2050,3,0
CO_DEN-Bio_Solid,2050,4,0
CO_DEN-Bio_Solid,2050,5,0
CO_DEN-Bio_Solid,2050,6,0
CO_DEN-Bio_Solid,2050,7,0
CO_DEN_Bio_Liquid,2050,0,0
CO_DEN_Coal,2050,0,0
CO_DEN_DistillateFuelOil,2050,0,0
CO_DEN_Gas,2050,0,0
CO_DEN_ResidualFuelOil,2050,0,0
CO_DEN_Uranium,2050,0,0
CO_E-Bio_Gas,2050,1,4.6113e+06
CO_E-Bio_Solid,2050,1,0
CO_E-Bio_Solid,2050,2,0
CO_E-Bio_Solid,2050,3,0
CO_E-Bio_Solid,2050,4,0
CO_E-Bio_Solid,2050,5,0
CO_E-Bio_Solid,2050,6,0
CO_E-Bio_Solid,2050,7,0
CO_E-Bio_Solid,2050,8,0
CO_E-Bio_Solid,2050,9,0
CO_E-Bio_Solid,2050,10,0
CO_E-Bio_Solid,2050,11,0
CO_E-Bio_Solid,2050,12,0
CO_E-Bio_Solid,2050,13,0
CO_E-Bio_Solid,2050,14,0
CO_E_Bio_Liquid,2050,0,0
CO_E_Coal,2050,0,0
CO_E_DistillateFuelOil,2050,0,0
CO_E_Gas,2050,0,0
CO_E_ResidualFuelOil,2050,0,0
CO_E_Uranium,2050,0,0
CO_NW-Bio_Gas,2050,1,2.0857e+06
CO_NW-Bio_Solid,2050,1,0
CO_NW-Bio_Solid,2050,2,0
CO_NW-Bio_Solid,2050,3,0
CO_NW-Bio_Solid,2050,4,0
CO_NW-Bio_Solid,2050,5,0
CO_NW_Bio_Liquid,2050,0,0
CO_NW_Coal,2050,0,0
CO_NW_DistillateFuelOil,2050,0,0
CO_NW_Gas,2050,0,0
CO_NW_ResidualFuelOil,2050,0,0
CO_NW_Uranium,2050,0,0
CO_SW-Bio_Gas,2050,1,4.2009e+05
CO_SW-Bio_Solid,2050,1,0
CO_SW-Bio_Solid,2050,2,0
CO_SW-Bio_Solid,2050,3,0
CO_SW-Bio_Solid,2050,4,0
CO_SW-Bio_Solid,2050,5,0
CO_SW-Bio_Solid,2050,6,0
CO_SW-Bio_Solid,2050,7,0
CO_SW-Bio_Solid,2050,8,0
CO_SW_Bio_Liquid,2050,0,0
CO_SW_Coal,2050,0,0
CO_SW_DistillateFuelOil,2050,0,0
CO_SW_Gas,2050,0,0
CO_SW_ResidualFuelOil,2050,0,0
CO_SW_Uranium,2050,0,0
ID_E-Bio_Gas,2050,1,4.7627e+05
ID_E-Bio_Solid,2050,1,0
ID_E-Bio_Solid,2050,2,0
ID_E-Bio_Solid,2050,3,0
ID_E-Bio_Solid,2050,4,0
ID_E-Bio_Solid,2050,5,0
ID_E-Bio_Solid,2050,6,0
ID_E-Bio_Solid,2050,7,0
ID_E-Bio_Solid,2050,8,0
ID_E_Bio_Liquid,2050,0,0
ID_E_Coal,2050,0,0
ID_E_DistillateFuelOil,2050,0,0
ID_E_Gas,2050,0,0
ID_E_ResidualFuelOil,2050,0,0
ID_E_Uranium,2050,0,0
ID_S_OR_E-Bio_Gas,2050,1,1.5106e+06
ID_S_OR_E-Bio_Solid,2050,1,1.2911e-05
ID_S_OR_E-Bio_Solid,2050,2,1.0099e-05
ID_S_OR_E-Bio_Solid,2050,3,0
ID_S_OR_E-Bio_Solid,2050,4,0
ID_S_OR_E-Bio_Solid,2050,5,0
ID_S_OR_E-Bio_Solid,2050,6,0
ID_S_OR_E-Bio_Solid,2050,7,0
ID_S_OR_E-Bio_Solid,2050,8,0
ID_S_OR_E-Bio_Solid,2050,9,0
ID_S_OR_E-Bio_Solid,2050,10,0
ID_S_OR_E_Bio_Liquid,2050,0,0
ID_S_OR_E_Coal,2050,0,0
ID_S_OR_E_DistillateFuelOil,2050,0,0
ID_S_OR_E_Gas,2050,0,0
ID_S_OR_E_ResidualFuelOil,2050,0,0
ID_S_OR_E_Uranium,2050,0,0
MEX_BAJA-Bio_Gas,2050,1,1.8584e+06
MEX_BAJA-Bio_Solid,2050,1,0
MEX_BAJA-Bio_Solid,2050,2,0
MEX_BAJA_Bio_Liquid,2050,0,0
MEX_BAJA_Coal,2050,0,0
MEX_BAJA_DistillateFuelOil,2050,0,0
MEX_BAJA_Gas,2050,0,0
MEX_BAJA_ResidualFuelOil,2050,0,0
MEX_BAJA_Uranium,2050,0,0
MT_NE-Bio_Gas,2050,1,6.4024e+05
MT_NE-Bio_Solid,2050,1,0
MT_NE-Bio_Solid,2050,2,0
MT_NE-Bio_Solid,2050,3,0
MT_NE-Bio_Solid,2050,4,0
MT_NE-Bio_Solid,2050,5,0
MT_NE-Bio_Solid,2050,6,0
MT_NE-Bio_Solid,2050,7,0
MT_NE-Bio_Solid,2050,8,0
MT_NE-Bio_Solid,2050,9,0
MT_NE-Bio_Solid,2050,10,0
MT_NE-Bio_Solid,2050,11,0
MT_NE-Bio_Solid,2050,12,0
MT_NE-Bio_Solid,2050,13,0
MT_NE-Bio_Solid,2050,14,0
MT_NE_Bio_Liquid,2050,0,0
MT_NE_Coal,2050,0,0
MT_NE_DistillateFuelOil,2050,0,0
MT_NE_Gas,2050,0,0
MT_NE_ResidualFuelOil,2050,0,0
MT_NE_Uranium,2050,0,0
MT_NW-Bio_Gas,2050,1,5.0803e+05
MT_NW-Bio_Solid,2050,1,1.3682e+05
MT_NW-Bio_Solid,2050,2,1.4364e-05
MT_NW-Bio_Solid,2050,3,0
MT_NW-Bio_Solid,2050,4,0
MT_NW-Bio_Solid,2050,5,0
MT_NW-Bio_Solid,2050,6,0
MT_NW-Bio_Solid,2050,7,0
MT_NW-Bio_Solid,2050,8,0
MT_NW_Bio_Liquid,2050,0,0
MT_NW_Coal,2050,0,0
MT_NW_DistillateFuelOil,2050,0,0
MT_NW_Gas,2050,0,0
MT_NW_ResidualFuelOil,2050,0,0
MT_NW_Uranium,2050,0,0
MT_SE-Bio_Gas,2050,1,34534
MT_SE-Bio_Solid,2050,1,0
MT_SE-Bio_Solid,2050,2,0
MT_SE-Bio_Solid,2050,3,0
MT_SE-Bio_Solid,2050,4,0
MT_SE-Bio_Solid,2050,5,0
MT_SE-Bio_Solid,2050,6,0
MT_SE-Bio_Solid,2050,7,0
MT_SE-Bio_Solid,2050,8,0
MT_SE-Bio_Solid,2050,9,0
MT_SE-Bio_Solid,2050,10,0
MT_SE_Bio_Liquid,2050,0,0
MT_SE_Coal,2050,0,0
MT_SE_DistillateFuelOil,2050,0,0
MT_SE_Gas,2050,0,0
MT_SE_ResidualFuelOil,2050,0,0
MT_SE_Uranium,2050,0,0
MT_SW-Bio_Gas,2050,1,1.3161e+05
MT_SW-Bio_Solid,2050,1,0
MT_SW-Bio_Solid,2050,2,0
MT_SW-Bio_Solid,2050,3,0
MT_SW-Bio_Solid,2050,4,0
MT_SW-Bio_Solid,2050,5,0
MT_SW-Bio_Solid,2050,6,0
MT_SW-Bio_Solid,2050,7,0
MT_SW_Bio_Liquid,2050,0,0
MT_SW_Coal,2050,0,0
MT_SW_DistillateFuelOil,2050,0,0
MT_SW_Gas,2050,0,0
MT_SW_ResidualFuelOil,2050,0,0
MT_SW_Uranium,2050,0,0
NM_N-Bio_Gas,2050,1,1.9519e+06
NM_N-Bio_Solid,2050,1,0
NM_N-Bio_Solid,2050,2,0
NM_N-Bio_Solid,2050,3,0
NM_N-Bio_Solid,2050,4,0
NM_N-Bio_Solid,2050,5,0
NM_N-Bio_Solid,2050,6,0
NM_N-Bio_Solid,2050,7,0
NM_N-Bio_Solid,2050,8,0
NM_N-Bio_Solid,2050,9,0
NM_N-Bio_Solid,2050,10,0
NM_N-Bio_Solid,2050,11,0
NM_N-Bio_Solid,2050,12,0
NM_N_Bio_Liquid,2050,0,0
NM_N_Coal,2050,0,0
NM_N_DistillateFuelOil,2050,0,0
NM_N_Gas,2050,0,0
NM_N_ResidualFuelOil,2050,0,0
NM_N_Uranium,2050,0,0
NM_S_TX_EPE-Bio_Gas,2050,1,1.9591e+06
NM_S_TX_EPE-Bio_Solid,2050,1,0
NM_S_TX_EPE-Bio_Solid,2050,2,0
NM_S_TX_EPE-Bio_Solid,2050,3,0
NM_S_TX_EPE-Bio_Solid,2050,4,0
NM_S_TX_EPE-Bio_Solid,2050,5,0
NM_S_TX_EPE-Bio_Solid,2050,6,0
NM_S_TX_EPE-Bio_Solid,2050,7,0
NM_S_TX_EPE-Bio_Solid,2050,8,0
NM_S_TX_EPE_Bio_Liquid,2050,0,0
NM_S_TX_EPE_Coal,2050,0,0
NM_S_TX_EPE_DistillateFuelOil,2050,0,0
NM_S_TX_EPE_Gas,2050,0,0
NM_S_TX_EPE_ResidualFuelOil,2050,0,0
NM_S_TX_EPE_Uranium,2050,0,0
NV_N-Bio_Gas,2050,1,1.4637e+06
NV_N-Bio_Solid,2050,1,0
NV_N-Bio_Solid,2050,2,0
NV_N-Bio_Solid,2050,3,0
NV_N-Bio_Solid,2050,4,0
NV_N-Bio_Solid,2050,5,0
NV_N-Bio_Solid,2050,6,0
NV_N-Bio_Solid,2050,7,0
NV_N-Bio_Solid,2050,8,0
NV_N-Bio_Solid,2050,9,0
NV_N-Bio_Solid,2050,10,0
NV_N-Bio_Solid,2050,11,0
NV_N-Bio_Solid,2050,12,0
NV_N_Bio_Liquid,2050,0,0
NV_N_Coal,2050,0,0
NV_N_DistillateFuelOil,2050,0,0
NV_N_Gas,2050,0,0
NV_N_ResidualFuelOil,2050,0,0
NV_N_Uranium,2050,0,0
NV_S-Bio_Gas,2050,1,2.6629e+06
NV_S-Bio_Solid,2050,1,0
NV_S-Bio_Solid,2050,2,0
NV_S-Bio_Solid,2050,3,0
NV_S-Bio_Solid,2050,4,0
NV_S-Bio_Solid,2050,5,0
NV_S-Bio_Solid,2050,6,0
NV_S-Bio_Solid,2050,7,0
NV_S-Bio_Solid,2050,8,0
NV_S-Bio_Solid,2050,9,0
NV_S_Bio_Liquid,2050,0,0
NV_S_Coal,2050,0,0
NV_S_DistillateFuelOil,2050,0,0
NV_S_Gas,2050,0,0
NV_S_ResidualFuelOil,2050,0,0
NV_S_Uranium,2050,0,0
OR_E-Bio_Gas,2050,1,3.4132e+05
OR_E-Bio_Solid,2050,1,1.1124e-05
OR_E-Bio_Solid,2050,2,0
OR_E-Bio_Solid,2050,3,0
OR_E-Bio_Solid,2050,4,0
OR_E-Bio_Solid,2050,5,0
OR_E-Bio_Solid,2050,6,0
OR_E-Bio_Solid,2050,7,0
OR_E-Bio_Solid,2050,8,0
OR_E-Bio_Solid,2050,9,0
OR_E_Bio_Liquid,2050,0,0
OR_E_Coal,2050,0,0
OR_E_DistillateFuelOil,2050,0,0
OR_E_Gas,2050,0,0
OR_E_ResidualFuelOil,2050,0,0
OR_E_Uranium,2050,0,0
OR_PDX-Bio_Gas,2050,1,1.7767e+06
OR_PDX-Bio_Solid,2050,1,0
OR_PDX-Bio_Solid,2050,2,0
OR_PDX-Bio_Solid,2050,3,0
OR_PDX-Bio_Solid,2050,4,0
OR_PDX-Bio_Solid,2050,5,0
OR_PDX-Bio_Solid,2050,6,0
OR_PDX-Bio_Solid,2050,7,0
OR_PDX-Bio_Solid,2050,8,0
OR_PDX-Bio_Solid,2050,9,0
OR_PDX-Bio_Solid,2050,10,0
OR_PDX-Bio_Solid,2050,11,0
OR_PDX-Bio_Solid,2050,12,0
OR_PDX_Bio_Liquid,2050,0,0
OR_PDX_Coal,2050,0,0
OR_PDX_DistillateFuelOil,2050,0,0
OR_PDX_Gas,2050,0,0
OR_PDX_ResidualFuelOil,2050,0,0
OR_PDX_Uranium,2050,0,0
OR_W-Bio_Gas,2050,1,2.9035e+06
OR_W-Bio_Solid,2050,1,0.00021688
OR_W-Bio_Solid,2050,2,4.9412e-05
OR_W-Bio_Solid,2050,3,0
OR_W-Bio_Solid,2050,4,0
OR_W-Bio_Solid,2050,5,0
OR_W-Bio_Solid,2050,6,0
OR_W-Bio_Solid,2050,7,0
OR_W-Bio_Solid,2050,8,0
OR_W-Bio_Solid,2050,9,0
OR_W-Bio_Solid,2050,10,0
OR_W-Bio_Solid,2050,11,0
OR_W-Bio_Solid,2050,12,0
OR_W-Bio_Solid,2050,13,0
OR_W-Bio_Solid,2050,14,0
OR_W-Bio_Solid,2050,15,0
OR_W-Bio_Solid,2050,16,0
OR_W-Bio_Solid,2050,17,0
OR_W-Bio_Solid,2050,18,0
OR_W-Bio_Solid,2050,19,0
OR_W-Bio_Solid,2050,20,0
OR_WA_BPA-Bio_Gas,2050,1,5.8708e+06
OR_WA_BPA-Bio_Solid,2050,1,0
OR_WA_BPA-Bio_Solid,2050,2,0
OR_WA_BPA-Bio_Solid,2050,3,0
OR_WA_BPA-Bio_Solid,2050,4,0
OR_WA_BPA-Bio_Solid,2050,5,0
OR_WA_BPA-Bio_Solid,2050,6,0
