GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
154658,2050,Hydro_NonPumped,CA_PGE_N,Water,1.5,0,0
154659,2050,Hydro_NonPumped,ID_E,Water,176.4,0,0
154660,2050,Hydro_NonPumped,WA_ID_AVA,Water,42,0,0
154661,2050,Hydro_NonPumped,CA_SCE_CEN,Water,19.6,0,0
154662,2050,Hydro_NonPumped,WA_N_CEN,Water,9.4,0,0
154663,2050,Hydro_NonPumped,UT_S,Water,2.8,0,0
154664,2050,Hydro_NonPumped,ID_E,Water,1.7,0,0
154665,2050,Hydro_NonPumped,UT_S,Water,1.2,0,0
154666,2050,Hydro_NonPumped,MT_NE,Water,24,0,0
154667,2050,Hydro_NonPumped,MT_NE,Water,60.4,0,0
154668,2050,Hydro_NonPumped,MT_SW,Water,14.2,0,0
154669,2050,Hydro_NonPumped,MT_NE,Water,38.4,0,0
154670,2050,Hydro_NonPumped,MT_NW,Water,207.6,0,0
154671,2050,Hydro_NonPumped,MT_NE,Water,63,0,0
154672,2050,Hydro_NonPumped,MT_SW,Water,12,0,0
154673,2050,Hydro_NonPumped,MT_NE,Water,59,0,0
154674,2050,Hydro_NonPumped,MT_NE,Water,52.8,0,0
154675,2050,Hydro_NonPumped,MT_NW,Water,98.1,0,0
154677,2050,Hydro_NonPumped,MT_NW,Water,569.5,0,0
154678,2050,Hydro_NonPumped,MT_NW,Water,428,0,0
154679,2050,Hydro_NonPumped,MT_SE,Water,268.8,0,0
154688,2050,Gas_Combustion_Turbine,NM_S_TX_EPE,Gas,131.8,0,0
154695,2050,Hydro_NonPumped,ID_S_OR_E,Water,391.5,0,0
154696,2050,Hydro_NonPumped,ID_S_OR_E,Water,190,0,0
154697,2050,Hydro_NonPumped,OR_W,Water,15,0,0
154698,2050,Hydro_NonPumped,OR_W,Water,26,0,0
154699,2050,Hydro_NonPumped,OR_W,Water,2.8,0,0
154700,2050,Hydro_NonPumped,OR_E,Water,3.2,0,0
154701,2050,Hydro_NonPumped,OR_W,Water,11,0,0
154702,2050,Hydro_NonPumped,OR_E,Water,98.7,0,0
154703,2050,Hydro_NonPumped,OR_W,Water,32,0,0
154704,2050,Hydro_NonPumped,OR_W,Water,3.8,0,0
154705,2050,Hydro_NonPumped,OR_W,Water,32,0,0
154706,2050,Hydro_NonPumped,OR_W,Water,7.2,0,0
154707,2050,Hydro_NonPumped,OR_W,Water,1,0,0
154708,2050,Hydro_NonPumped,OR_W,Water,18,0,0
154709,2050,Hydro_NonPumped,OR_W,Water,11,0,0
154710,2050,Hydro_NonPumped,OR_W,Water,42.6,0,0
154711,2050,Hydro_NonPumped,ID_S_OR_E,Water,1.1,0,0
154712,2050,Hydro_NonPumped,OR_PDX,Water,19.2,0,0
154713,2050,Hydro_NonPumped,OR_PDX,Water,40.8,0,0
154714,2050,Hydro_NonPumped,OR_WA_BPA,Water,109.8,0,0
154715,2050,Hydro_NonPumped,OR_PDX,Water,18.8,0,0
154716,2050,Hydro_NonPumped,OR_WA_BPA,Water,372.5,0,0
154717,2050,Hydro_NonPumped,OR_PDX,Water,15.4,0,0
154718,2050,Hydro_NonPumped,OR_W,Water,114.3,0,0
154719,2050,Hydro_NonPumped,OR_W,Water,15.9,0,0
154720,2050,Hydro_NonPumped,OR_W,Water,8,0,0
154721,2050,Hydro_NonPumped,OR_W,Water,18,0,0
154722,2050,Hydro_NonPumped,OR_PDX,Water,1162,0,0
154723,2050,Hydro_NonPumped,OR_W,Water,26,0,0
154724,2050,Hydro_NonPumped,OR_W,Water,100,0,0
154725,2050,Hydro_NonPumped,OR_W,Water,15,0,0
154726,2050,Hydro_NonPumped,OR_W,Water,80,0,0
154727,2050,Hydro_NonPumped,OR_W,Water,30,0,0
154728,2050,Hydro_NonPumped,OR_WA_BPA,Water,2025,0,0
154729,2050,Hydro_NonPumped,OR_W,Water,120,0,0
154730,2050,Hydro_NonPumped,OR_WA_BPA,Water,990.5,0,0
154733,2050,CCGT,NM_S_TX_EPE,Gas,307,0,0
154738,2050,Hydro_NonPumped,UT_S,Water,2.5,0,0
154739,2050,Hydro_NonPumped,UT_N,Water,30,0,0
154742,2050,Hydro_NonPumped,UT_N,Water,2,0,0
154743,2050,Hydro_NonPumped,UT_N,Water,5,0,0
154744,2050,Hydro_NonPumped,UT_N,Water,1.2,0,0
154745,2050,Hydro_NonPumped,UT_N,Water,1,0,0
154746,2050,Hydro_NonPumped,UT_N,Water,3.8,0,0
154747,2050,Gas_Combustion_Turbine,UT_N,Gas,25.2,0,0
154748,2050,Hydro_NonPumped,UT_N,Water,1.8,0,0
154750,2050,Hydro_NonPumped,UT_S,Water,1.6,0,0
154751,2050,Hydro_NonPumped,UT_N,Water,1,0,0
154752,2050,Hydro_NonPumped,UT_N,Water,3.6,0,0
154753,2050,Hydro_NonPumped,UT_N,Water,4,0,0
154754,2050,Hydro_NonPumped,UT_N,Water,1.9,0,0
154755,2050,Hydro_NonPumped,UT_S,Water,4.2,0,0
154756,2050,Hydro_NonPumped,UT_N,Water,1.2,0,0
154759,2050,Hydro_NonPumped,WA_W,Water,136,0,0
154760,2050,Hydro_NonPumped,WA_W,Water,240,0,0
154761,2050,Hydro_NonPumped,WA_W,Water,134,0,0
154763,2050,Hydro_NonPumped,WA_W,Water,22.8,0,0
154764,2050,Hydro_NonPumped,WA_W,Water,111.2,0,0
154765,2050,Hydro_NonPumped,WA_W,Water,12.8,0,0
154766,2050,Hydro_NonPumped,WA_W,Water,104.8,0,0
154767,2050,Hydro_NonPumped,WA_ID_AVA,Water,34.8,0,0
154768,2050,Hydro_NonPumped,WA_ID_AVA,Water,70,0,0
154769,2050,Hydro_NonPumped,WA_ID_AVA,Water,1.6,0,0
154770,2050,Hydro_NonPumped,WA_ID_AVA,Water,37.6,0,0
154771,2050,Hydro_NonPumped,WA_W,Water,12,0,0
154772,2050,Hydro_NonPumped,WA_N_CEN,Water,1299.6,0,0
154773,2050,Hydro_NonPumped,WA_N_CEN,Water,696.6,0,0
154774,2050,Hydro_NonPumped,WA_N_CEN,Water,955.6,0,0
154775,2050,Hydro_NonPumped,WA_N_CEN,Water,1098,0,0
154776,2050,Hydro_NonPumped,WA_ID_AVA,Water,90,0,0
154777,2050,Hydro_NonPumped,OR_WA_BPA,Water,1819.7,0,0
154778,2050,Hydro_NonPumped,WA_W,Water,50,0,0
154779,2050,Hydro_NonPumped,WA_W,Water,43.2,0,0
154780,2050,Hydro_NonPumped,WA_W,Water,84.6,0,0
154781,2050,Hydro_NonPumped,WA_W,Water,64,0,0
154782,2050,Hydro_NonPumped,WA_W,Water,162,0,0
154783,2050,Hydro_NonPumped,WA_W,Water,300,0,0
154784,2050,Hydro_NonPumped,WA_N_CEN,Water,2456.2,0,0
154785,2050,Hydro_NonPumped,OR_WA_BPA,Water,603,0,0
154786,2050,Hydro_NonPumped,WA_ID_AVA,Water,675,0,0
154787,2050,Hydro_NonPumped,OR_WA_BPA,Water,810,0,0
154788,2050,Hydro_NonPumped,WA_W,Water,27.5,0,0
154791,2050,Hydro_NonPumped,WY_SE,Water,66.8,0,0
154792,2050,Hydro_NonPumped,WY_SE,Water,38,0,0
154793,2050,Hydro_NonPumped,WY_SE,Water,6.4,0,0
154794,2050,Hydro_NonPumped,WY_SE,Water,36,0,0
154795,2050,Hydro_NonPumped,WY_SE,Water,51.6,0,0
154796,2050,Hydro_NonPumped,WY_NW,Water,3,0,0
154797,2050,Hydro_NonPumped,WY_SW,Water,10,0,0
154798,2050,Hydro_NonPumped,ID_E,Water,4.8,0,0
154799,2050,Hydro_NonPumped,OR_PDX,Water,23.7,0,0
154800,2050,Hydro_NonPumped,OR_PDX,Water,11.8,0,0
154803,2050,Hydro_NonPumped,UT_N,Water,4.4,0,0
154804,2050,Nuclear,AZ_APS_SW,Uranium,4209.6,0,0
154812,2050,Hydro_Pumped,CA_PGE_CEN,Water,702,0,0
154818,2050,Hydro_NonPumped,CA_PGE_CEN,Water,300,0,0
154819,2050,Hydro_NonPumped,CO_SW,Water,28,0,0
154820,2050,Hydro_NonPumped,WA_N_CEN,Water,6495,0,0
154821,2050,Hydro_Pumped,WA_N_CEN,Water,314,0,0
