GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
154407,2050,Hydro_NonPumped,CA_PGE_CEN,Water,48.6,0,0
154408,2050,Hydro_NonPumped,CA_PGE_N,Water,2,0,0
154409,2050,Hydro_NonPumped,CA_PGE_CEN,Water,3.4,0,0
154411,2050,Hydro_NonPumped,CA_PGE_CEN,Water,3.6,0,0
154412,2050,Hydro_NonPumped,CA_PGE_N,Water,10.2,0,0
154413,2050,Hydro_NonPumped,CA_PGE_CEN,Water,1.6,0,0
154414,2050,Hydro_NonPumped,CA_PGE_N,Water,69.2,0,0
154415,2050,Hydro_NonPumped,CA_PGE_N,Water,80.1,0,0
154416,2050,Hydro_NonPumped,CA_PGE_N,Water,103.4,0,0
154417,2050,Hydro_NonPumped,CA_PGE_N,Water,141.6,0,0
154418,2050,Hydro_NonPumped,CA_PGE_N,Water,79.2,0,0
154419,2050,Hydro_NonPumped,CA_PGE_N,Water,109.8,0,0
154420,2050,Hydro_NonPumped,CA_PGE_N,Water,142.8,0,0
154421,2050,Hydro_NonPumped,CA_PGE_N,Water,9.4,0,0
154422,2050,Hydro_NonPumped,CA_PGE_N,Water,126,0,0
154423,2050,Hydro_NonPumped,CA_PGE_CEN,Water,2.8,0,0
154424,2050,Hydro_NonPumped,CA_PGE_CEN,Water,4,0,0
154425,2050,Hydro_NonPumped,CA_PGE_CEN,Water,42,0,0
154426,2050,Hydro_NonPumped,CA_PGE_N,Water,6.7,0,0
154427,2050,Hydro_NonPumped,CA_PGE_N,Water,7,0,0
154428,2050,Hydro_NonPumped,CA_PGE_N,Water,3.7,0,0
154429,2050,Hydro_NonPumped,CA_PGE_N,Water,6.6,0,0
154430,2050,Hydro_NonPumped,CA_PGE_CEN,Water,6,0,0
154431,2050,Hydro_NonPumped,CA_PGE_CEN,Water,81.9,0,0
154433,2050,Hydro_NonPumped,CA_PGE_CEN,Water,52.2,0,0
154434,2050,Hydro_NonPumped,CA_SCE_VLY,Water,8.4,0,0
154435,2050,Hydro_NonPumped,CA_PGE_N,Water,8.5,0,0
154436,2050,Hydro_NonPumped,CA_PGE_CEN,Water,13.6,0,0
154437,2050,Hydro_NonPumped,CA_PGE_N,Water,16.4,0,0
154438,2050,Hydro_NonPumped,CA_PGE_CEN,Water,12.8,0,0
154439,2050,Hydro_NonPumped,OR_W,Water,20,0,0
154440,2050,Hydro_NonPumped,OR_W,Water,27,0,0
154441,2050,Hydro_NonPumped,OR_W,Water,2.1,0,0
154442,2050,Hydro_NonPumped,OR_W,Water,18,0,0
154444,2050,Hydro_NonPumped,CA_IID,Water,4,0,0
154448,2050,Hydro_NonPumped,CA_LADWP,Water,8.5,0,0
154449,2050,Hydro_NonPumped,CA_PGE_CEN,Water,88.4,0,0
154450,2050,Hydro_NonPumped,CA_PGE_CEN,Water,66.6,0,0
154451,2050,Hydro_NonPumped,CA_PGE_CEN,Water,174.5,0,0
154452,2050,Hydro_NonPumped,CA_PGE_CEN,Water,100,0,0
154453,2050,Hydro_NonPumped,CA_PGE_CEN,Water,75,0,0
154454,2050,Hydro_NonPumped,CA_PGE_CEN,Water,110,0,0
154455,2050,Hydro_NonPumped,CA_SCE_CEN,Water,7.3,0,0
154456,2050,Hydro_NonPumped,CA_SCE_CEN,Water,8.4,0,0
154457,2050,Hydro_NonPumped,CA_SCE_CEN,Water,8.2,0,0
154458,2050,Hydro_NonPumped,CA_SCE_CEN,Water,4.5,0,0
154459,2050,Hydro_NonPumped,CA_SCE_CEN,Water,1.6,0,0
154460,2050,Hydro_NonPumped,CA_SCE_CEN,Water,12,0,0
154461,2050,Hydro_NonPumped,CA_SCE_S,Water,3,0,0
154463,2050,Hydro_NonPumped,CA_SCE_VLY,Water,1.8,0,0
154464,2050,Hydro_NonPumped,CA_SCE_VLY,Water,2.3,0,0
154465,2050,Hydro_NonPumped,CA_SCE_VLY,Water,4.8,0,0
154466,2050,Hydro_NonPumped,CA_SCE_CEN,Water,40.3,0,0
154467,2050,Hydro_NonPumped,CA_PGE_S,Water,26.4,0,0
154469,2050,Hydro_NonPumped,CA_SCE_CEN,Water,3,0,0
154470,2050,Hydro_NonPumped,CA_PGE_CEN,Water,190,0,0
154473,2050,Hydro_NonPumped,CA_SCE_CEN,Water,11.3,0,0
