STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
5011_1,352196,1834
5011_1,352200,2711.2
5011_1,352204,1704.8
5011_1,352208,849.29
5011_1,352212,14.035
5011_1,352216,999.93
5011_1,352220,1903.6
5011_1,352224,2805.9
5011_1,352228,1858.5
5011_1,352232,1066.6
5011_1,352236,47.647
5011_1,352240,1136.7
5011_1,352244,1990.4
5011_1,352248,2994.9
5011_1,352252,1860.4
5011_1,352256,1223.3
5011_1,352260,564.09
5011_1,352264,999.19
5011_1,352268,1930.3
5011_1,352272,2486.7
5011_1,352276,1678
5011_1,352280,1066.3
5011_1,352284,149.34
5011_1,352288,1020.1
5011_1,352292,2333.7
5011_1,352296,3123.3
5011_1,352300,1959.1
5011_1,352304,1084.8
5011_1,352308,185.18
5011_1,352312,1226.6
5011_1,352316,2231.4
5011_1,352320,2938.7
5011_1,352324,2032.3
5011_1,352328,1144
5011_1,352332,9.9526
5011_1,352336,1053.4
5011_1,352340,1632
5011_1,352344,2217
5011_1,352348,1764.1
5011_1,352352,1416.3
5011_1,352356,1117.1
5011_1,352360,1410.8
5011_1,352364,1619.8
5011_1,352368,2013.7
5011_1,352372,1674.5
5011_1,352376,1454.7
5011_1,352380,1122.9
5011_1,352384,1547.8
5011_1,352388,1876.9
5011_1,352392,2351.2
5011_1,352396,1719.4
5011_1,352400,1289.2
5011_1,352404,826.56
5011_1,352408,1403.5
5011_1,352412,1909.5
5011_1,352416,2796.8
5011_1,352420,1855.4
5011_1,352424,1264.7
5011_1,352428,503.34
5011_1,352432,2057.8
5011_1,352436,2461.8
5011_1,352440,2976.2
5011_1,352444,1933.8
5011_1,352448,1220.6
5011_1,352452,534.44
5011_1,352456,689.51
5011_1,352460,901.87
5011_1,352464,2790
5011_1,352468,1779.2
5011_1,352472,1021.2
5011_1,352476,174.58
5011_1,352480,856.48
5011_1,352484,1604.2
5011_1,352488,2259.4
5011_1,352492,1770.5
5011_1,352496,1370.3
5011_1,352500,980.93
5011_1,352504,1497.6
5011_1,352508,1789.8
5011_1,352512,2132.4
5011_1,352516,1664.7
5011_1,352520,1259.7
5011_1,352524,662.65
5011_1,352528,1264.4
5011_1,352532,1654.4
5011_1,352536,2277
5011_1,352540,1774.7
5011_1,352544,1488.5
5011_1,352548,1294.1
5011_1,352552,1526.4
5011_1,352556,2051.8
5011_1,352560,2236.9
5011_1,352564,1692.3
5011_1,352568,1255
5011_1,352572,779.42
5011_1,352576,1172.7
5011_1,352580,1668.2
5011_1,352584,2175.3
5011_1,352588,1692.5
5011_1,352592,1281.8
5011_1,352596,935.95
5011_1,352600,1340.7
5011_1,352604,1689.9
5011_1,352608,2100
5011_1,352612,1663.1
5011_1,352616,1333.1
5011_1,352620,1078.5
5011_1,352624,1407
5011_1,352628,1760.5
5011_1,352632,2294.7
5011_1,352636,1686
5011_1,352640,1206.4
5011_1,352644,815.43
5011_1,352648,1362.7
5011_1,352652,1872.5
5011_1,352656,2302.3
5011_1,352660,1691.4
5011_1,352664,1183.1
5011_1,352668,739.62
5011_1,352672,1347.2
5011_1,352676,1874.7
5011_1,352680,2716
5011_1,352684,1768.1
5011_1,352688,1271.7
5011_1,352692,863.34
5011_1,352696,1138
5011_1,352700,2247.9
5011_1,352704,3126.4
5011_1,352708,2103.3
5011_1,352712,1280.8
5011_1,352716,511.78
5011_1,352720,601.41
5011_1,352724,1610.5
5011_1,352728,2789.9
5011_1,352732,1884.8
5011_1,352736,1037.1
5011_1,352740,8.334
5011_1,352744,864.45
5011_1,352748,1242.6
5011_1,352752,1949.6
5011_1,352756,1491.5
5011_1,352760,1186.4
5011_1,352764,884.72
5011_1,352768,1514.3
5011_1,352772,2036.6
5011_1,352776,3087.3
5011_1,352780,1954.1
5011_1,352784,1110.6
5011_1,352788,137.84
5011_1,352792,194.25
5011_1,352796,2980.1
5011_1,352800,3123.8
5011_1,352804,1987.4
5011_1,352808,1050.6
5011_1,352812,14.733
5011_1,352816,1105
5011_1,352820,1468.8
5011_1,352824,1733.3
5011_1,352828,1526.9
5011_1,352832,1329.3
5011_1,352836,1304.3
5011_1,352840,1544.8
5011_1,352844,1861.6
5011_1,352848,2581.1
5011_1,352852,1865.7
5011_1,352856,1517.6
5011_1,352860,1340.3
5011_1,352864,1578.1
5011_1,352868,2540
5011_1,352872,3061.7
5011_1,352876,1920.4
5011_1,352880,1162.9
5011_1,352884,533.84
5011_1,352888,1277.6
5011_1,352892,1962.4
5011_1,352896,2646.3
5011_1,352900,1748.7
5011_1,352904,995.58
5011_1,352908,92.056
5011_1,352912,880.34
5011_1,352916,1766.1
5011_1,352920,2025.3
5011_1,352924,1568.2
5011_1,352928,1237
5011_1,352932,813.31
5011_1,352936,1268.5
5011_1,352940,1493.7
5011_1,352944,1739.3
5011_1,352948,1577.8
5011_1,352952,1482.3
5011_1,352956,1462.2
5011_1,352960,1615.1
5011_1,352964,1791.5
5011_1,352968,2080.3
5011_1,352972,1587.6
5011_1,352976,1382.7
5011_1,352980,1208.8
5011_1,352984,1430.7
5011_1,352988,1627.7
5011_1,352992,1917.1
5011_1,352996,1578.5
5011_1,353000,1317.1
5011_1,353004,1213.5
5011_1,353008,1538
5011_1,353012,1844.3
5011_1,353016,2450.5
5011_1,353020,1653.7
5011_1,353024,1265.3
5011_1,353028,1024.7
5011_1,353032,1316.3
5011_1,353036,1672.1
5011_1,353040,1943.2
5011_1,353044,1576.7
5011_1,353048,1282
5011_1,353052,852.41
5011_1,353056,1375.1
5011_1,353060,1690.4
5011_1,353064,1963.2
5011_1,353068,1659.6
5011_1,353072,1489.8
5011_1,353076,1316.2
5011_1,353080,1573.4
5011_1,353084,1775.2
5011_1,353088,2011.9
5011_1,353092,1616.2
5011_1,353096,1362.2
5011_1,353100,1251.8
5011_1,353104,1607.2
5011_1,353108,2010.7
5011_1,353112,2767.6
5011_1,353116,1785.9
5011_1,353120,1272.6
5011_1,353124,1105.5
5011_1,353128,1524.2
5011_1,353132,1831.6
5011_1,353136,1932.5
5011_1,353140,1424.4
5011_1,353144,1024.5
5011_1,353148,339.11
5011_1,353152,1145.1
5011_1,353156,1492.1
5011_1,353160,1744.4
5011_1,353164,1583.3
5011_1,353168,1489.9
5011_1,353172,1394.8
5011_1,353176,1607.6
5011_1,353180,1804.2
5011_1,353184,2040.4
5011_1,353188,1581.1
5011_1,353192,1385.9
5011_1,353196,1223.4
5011_1,353200,1416.5
5011_1,353204,1592.7
5011_1,353208,1828
5011_1,353212,1523.9
5011_1,353216,1347.5
5011_1,353220,1311.7
5011_1,353224,1504
5011_1,353228,1661.9
5011_1,353232,1868.1
5011_1,353236,1654.5
5011_1,353240,1500.8
5011_1,353244,1399.6
5011_1,353248,1597.2
5011_1,353252,1765.8
5011_1,353256,2027.5
5011_1,353260,1640.6
5011_1,353264,1402.8
5011_1,353268,1304.4
5011_1,353272,1643.8
5011_1,353276,2050.3
5011_1,353280,2763.7
5011_1,353284,1805.2
5011_1,353288,1294.8
5011_1,353292,912.93
5011_1,353296,1370.8
5011_1,353300,2013.2
5011_1,353304,2150.8
5011_1,353308,1547
5011_1,353312,1011.9
5011_1,353316,420.01
5011_1,353320,1151.2
5011_1,353324,1569.1
5011_1,353328,1924.2
5011_1,353332,1568
5011_1,353336,1321.4
5011_1,353340,1156.6
5011_1,353344,1511
5011_1,353348,1757.2
5011_1,353352,1997.7
5011_1,353356,1651.1
5011_1,353360,1473.6
5011_1,353364,1307.5
5011_1,353368,1544.2
5011_1,353372,1723.1
5011_1,353376,2052.2
5011_1,353380,1694.4
5011_1,353384,1421.4
5011_1,353388,1272.2
5011_1,353392,1566.4
5011_1,353396,1821.1
5011_1,353400,2263.7
5011_1,353404,1588.9
5011_1,353408,1249.9
5011_1,353412,956.3
5011_1,353416,1462.7
5011_1,353420,1867.6
5011_1,353424,2382.3
5011_1,353428,1622.8
5011_1,353432,1215.8
5011_1,353436,946
5011_1,353440,1477.8
5011_1,353444,1749.6
5011_1,353448,1954.7
5011_1,353452,1534.9
5011_1,353456,1196.7
5011_1,353460,927.81
5011_1,353464,1280.2
5011_1,353468,1568
5011_1,353472,1924.7
5011_1,353476,1654.4
5011_1,353480,1409.9
5011_1,353484,1315.4
5011_1,353488,1613.2
5011_1,353492,1874.2
5011_1,353496,2214.1
5011_1,353500,1685.7
5011_1,353504,1287.8
5011_1,353508,1091.7
5011_1,353512,1434.1
5011_1,353516,1648.7
5011_1,353520,1849.2
5011_1,353524,1515.6
5011_1,353528,1356.7
5011_1,353532,1325
5011_1,353536,1560.4
5011_1,353540,1725.8
5011_1,353544,2042.4
5011_1,353548,1563.5
5011_1,353552,1261.2
5011_1,353556,1211.7
5011_1,353560,1482.2
5011_1,353564,1684.9
5011_1,353568,1872.7
5011_1,353572,1508.4
5011_1,353576,1379.1
5011_1,353580,1380
5011_1,353584,1668.5
5011_1,353588,1821
5011_1,353592,2046.3
5011_1,353596,1586
5011_1,353600,1303.9
5011_1,353604,1239.9
5011_1,353608,1554.2
5011_1,353612,1788.6
5011_1,353616,1966.9
5011_1,353620,1479.9
5011_1,353624,1210.2
5011_1,353628,1182.5
5011_1,353632,1573.4
5011_1,353636,1743.2
5011_1,353640,1894.2
5011_1,353644,1578.8
5011_1,353648,1357.1
5011_1,353652,1266.7
5011_1,353656,1564
5011_1,353660,1747.8
5011_1,353664,1988.1
5011_1,353668,1561.2
5011_1,353672,1268.2
5011_1,353676,1173.6
5011_1,353680,1502.5
5011_1,353684,1737.1
5011_1,353688,1910.8
5011_1,353692,1557.5
5011_1,353696,1323.7
5011_1,353700,1324
5011_1,353704,1506.7
5011_1,353708,1686.6
5011_1,353712,1894
5011_1,353716,1520.9
5011_1,353720,1335.5
5011_1,353724,1361.1
5011_1,353728,1595.6
5011_1,353732,1637.7
5011_1,353736,1833.3
5011_1,353740,1524.1
5011_1,353744,1414.7
5011_1,353748,1359.8
5011_1,353752,1603.1
5011_1,353756,1767.2
5011_1,353760,2001.3
5011_1,353764,1468.5
5011_1,353768,1393.6
5011_1,353772,1303.3
5011_1,353776,1778.2
5011_1,353780,1890.9
5011_1,353784,2181.6
5011_1,353788,1519
5011_1,353792,1155.9
5011_1,353796,1056.4
5011_1,353800,1446.2
5011_1,353804,1653.7
5011_1,353808,1965.2
5011_1,353812,1532.4
5011_1,353816,1240.5
5011_1,353820,1238.2
5011_1,353824,1644.6
5011_1,353828,1787.2
5011_1,353832,2061.4
5011_1,353836,1579.8
5011_1,353840,1228.2
5011_1,353844,1143.2
5011_1,353848,1608
5011_1,353852,2015.8
5011_1,353856,2770.2
5011_1,353860,1731.4
5011_1,353864,1179.3
5011_1,353868,1010.6
5011_1,353872,1658.1
5011_1,353876,1831.8
5011_1,353880,2463.1
5011_1,353884,1626.3
5011_1,353888,1128.6
5011_1,353892,872.45
5011_1,353896,1518.1
5011_1,353900,2078.7
5011_1,353904,2306.9
5011_1,353908,1523.1
5011_1,353912,1013.1
5011_1,353916,656.24
5011_1,353920,1639.2
5011_1,353924,2307.8
5011_1,353928,2070.1
5011_1,353932,1348.5
5011_1,353936,834.41
5011_1,353940,576.01
5011_1,353944,1521.6
5011_1,353948,2001.4
5011_1,353952,2200.6
5011_1,353956,1407.3
5011_1,353960,895.53
5011_1,353964,690.53
5011_1,353968,1606.3
5011_1,353972,1949.7
5011_1,353976,2109.7
5011_1,353980,1423.8
5011_1,353984,963.85
5011_1,353988,799.24
5011_1,353992,1446.9
5011_1,353996,1976
5011_1,354000,2736.8
5011_1,354004,1698.2
5011_1,354008,1061.9
5011_1,354012,761.76
5011_1,354016,1936.3
5011_1,354020,2110.9
5011_1,354024,2469
5011_1,354028,1564.3
5011_1,354032,987.4
5011_1,354036,503.28
5011_1,354040,902.28
5011_1,354044,1455.7
5011_1,354048,1785.5
5011_1,354052,1366.4
5011_1,354056,1113.7
5011_1,354060,988.44
5011_1,354064,1537.5
5011_1,354068,1785.7
5011_1,354072,2054.8
5011_1,354076,1652.7
5011_1,354080,1448.6
5011_1,354084,1378.8
5011_1,354088,1795.6
5011_1,354092,2011.6
5011_1,354096,2347.7
5011_1,354100,1532.9
5011_1,354104,1116.9
5011_1,354108,1049.6
5011_1,354112,1624.7
5011_1,354116,1852.6
5011_1,354120,2170.3
5011_1,354124,1437.5
5011_1,354128,1014.6
5011_1,354132,806.69
5011_1,354136,1393
5011_1,354140,1692.9
5011_1,354144,1865.9
5011_1,354148,1479.3
5011_1,354152,1194.8
5011_1,354156,1177.3
5011_1,354160,1505.3
5011_1,354164,1670.7
5011_1,354168,1723.2
5011_1,354172,1518.9
