STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
5011_1,351376,493.97
5011_1,351380,488.81
5011_1,351384,513.49
5011_1,351388,444.88
5011_1,351392,444.03
5011_1,351396,458.43
5011_1,351400,504.07
5011_1,351404,490.49
5011_1,351408,492.63
5011_1,351412,449.83
5011_1,351416,456.41
5011_1,351420,457.99
5011_1,351424,518.36
5011_1,351428,481.45
5011_1,351432,501.17
5011_1,351436,451.45
5011_1,351440,463.29
5011_1,351444,467.74
5011_1,351448,499.12
5011_1,351452,477.78
5011_1,351456,495.65
5011_1,351460,450.38
5011_1,351464,467.19
5011_1,351468,465.65
5011_1,351472,484.89
5011_1,351476,482.31
5011_1,351480,488.93
5011_1,351484,451.81
5011_1,351488,456.89
5011_1,351492,468.01
5011_1,351496,514.07
5011_1,351500,473.49
5011_1,351504,483.23
5011_1,351508,456.93
5011_1,351512,461.2
5011_1,351516,464.95
5011_1,351520,488.16
5011_1,351524,486.4
5011_1,351528,505.32
5011_1,351532,416.32
5011_1,351536,440.18
5011_1,351540,438.07
5011_1,351544,500.04
5011_1,351548,484.61
5011_1,351552,496.51
5011_1,351556,449.62
5011_1,351560,454.71
5011_1,351564,466.42
5011_1,351568,500.08
5011_1,351572,490.66
5011_1,351576,510.31
5011_1,351580,407.46
5011_1,351584,430.05
5011_1,351588,434.4
5011_1,351592,485.01
5011_1,351596,488.19
5011_1,351600,508.89
5011_1,351604,433.16
5011_1,351608,437.17
5011_1,351612,438.72
5011_1,351616,506.97
5011_1,351620,491.86
5011_1,351624,495.26
5011_1,351628,439.64
5011_1,351632,453.11
5011_1,351636,450.54
5011_1,351640,502.88
5011_1,351644,487.61
5011_1,351648,488.47
5011_1,351652,448.19
5011_1,351656,454.86
5011_1,351660,462.15
5011_1,351664,497.08
5011_1,351668,484.38
5011_1,351672,499.58
5011_1,351676,447.87
5011_1,351680,453.64
5011_1,351684,470.8
5011_1,351688,489.77
5011_1,351692,480.64
5011_1,351696,507.46
5011_1,351700,443.98
5011_1,351704,458.68
5011_1,351708,465.42
5011_1,351712,484.5
5011_1,351716,482.8
5011_1,351720,514.92
5011_1,351724,434.38
5011_1,351728,449.9
5011_1,351732,449.81
5011_1,351736,495.53
5011_1,351740,479.33
5011_1,351744,489.45
5011_1,351748,440.52
5011_1,351752,457.97
5011_1,351756,460.51
5011_1,351760,486.09
5011_1,351764,489.93
