BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
154483,2050,1082.9
154569,2050,0
154570,2050,0
154804,2050,3798.7
156174,2050,15.834
156242,2050,2.2168
156531,2050,23.909
1191209226,2050,0
1191209227,2050,0
1191209228,2050,0
1191209229,2050,0
1191209230,2050,0
1191209231,2050,0
1191209232,2050,0
1191209233,2050,0
1191209234,2050,0
1191209235,2050,0
1191209236,2050,0
1191209237,2050,0
1191209238,2050,0
1191209239,2050,0
1191209240,2050,0
1191209241,2050,0
1191209242,2050,0
1191209243,2050,0
1191209244,2050,0
1191209245,2050,0
1191209246,2050,0
1191209247,2050,0
1191209248,2050,0
1191209249,2050,0
1191209250,2050,0
1191209251,2050,0
1191209252,2050,0
1191209253,2050,0
1191209254,2050,0
1191209255,2050,0
1191209256,2050,0
1191209257,2050,0
1191209258,2050,0
1191209259,2050,0
1191209260,2050,0
1191209261,2050,0
1191209262,2050,0
1191209263,2050,0
1191209264,2050,0
1191209265,2050,0
1191209266,2050,0
1191209267,2050,0
1191209268,2050,0
1191209269,2050,0
1191209270,2050,0
1191209271,2050,0
1191209272,2050,0
1191209273,2050,0
1191209274,2050,0
1191209275,2050,0
1191209276,2050,0
1191209277,2050,0
1191209278,2050,0
1191209279,2050,0
1191209280,2050,0
1191209281,2050,0
1191209282,2050,0
1191209283,2050,0
1191209284,2050,0
1191209285,2050,0
1191209286,2050,0
1191209287,2050,0
1191209288,2050,0
1191209289,2050,0
1191209290,2050,0
1191209291,2050,0
1191209292,2050,0
1191209293,2050,0
1191209294,2050,0
1191209295,2050,0
1191209296,2050,0
1191209297,2050,0
1191209298,2050,0
1191209299,2050,0
1191209300,2050,0
1191209301,2050,0
1191209302,2050,0
1191209303,2050,0
1191209304,2050,0
1191209305,2050,0
1191209306,2050,0
1191209307,2050,0
1191209308,2050,0
1191209309,2050,0
1191209310,2050,0
1191209311,2050,0
1191209312,2050,0
1191209313,2050,0
1191209314,2050,0
1191209315,2050,0
1191209316,2050,0
1191209317,2050,0
1191209318,2050,0
1191209319,2050,0
1191209320,2050,0
1191209321,2050,0
1191209322,2050,0
1191209323,2050,0
1191209324,2050,0
1191209325,2050,0
1191209326,2050,0
1191209327,2050,0
1191209328,2050,0
1191209329,2050,0
1191209330,2050,0
1191209331,2050,0
1191209332,2050,0
1191209333,2050,0
1191209334,2050,0
1191209335,2050,0
1191209336,2050,0
1191209337,2050,0
1191209338,2050,0
1191209339,2050,0
1191209340,2050,0
1191209341,2050,0
1191209342,2050,0
1191209343,2050,0
1191209344,2050,0
1191209345,2050,0
1191209346,2050,0
1191209347,2050,0
1191209348,2050,0
1191209349,2050,0
1191209350,2050,0
1191209351,2050,0
1191209352,2050,0
1191209353,2050,0
1191209354,2050,0
1191209355,2050,0
1191209356,2050,0
1191209357,2050,0
1191209358,2050,0
1191209359,2050,0
1191209360,2050,0
1191209361,2050,0
1191209362,2050,0
1191209363,2050,0
1191209364,2050,0
1191209365,2050,0
1191209366,2050,0
1191209367,2050,0
1191209368,2050,0
1191209369,2050,0
1191209370,2050,0
1191209371,2050,0
1191209372,2050,0
1191209373,2050,0
1191209374,2050,0
1191209375,2050,0
1191209376,2050,0
1191209377,2050,0
1191209378,2050,0
1191209379,2050,0
1191209380,2050,0
1191209381,2050,0
1191209382,2050,0
1191209383,2050,0
1191209384,2050,0
1191209385,2050,0
1191209386,2050,0
1191209387,2050,0
