,gen_load_zone,value
0,AZ_APS_E,3.6063595340539405
1,AZ_APS_N,3.610649128112085
2,AZ_APS_SW,7.0978482801947544
3,AZ_NM_N,4.334872883119044
4,AZ_NW,5.824705662492992
5,AZ_PHX,6.619968002767328
6,AZ_SE,7.910198979060318
7,CAN_ALB,15.581956464725938
8,CAN_BC,8.521753043292756
9,CA_IID,6.90408577223993
10,CA_LADWP,8.521628678286643
11,CA_PGE_BAY,7.7325469427058255
12,CA_PGE_CEN,7.212997621866036
13,CA_PGE_N,7.212850712570287
14,CA_PGE_S,6.77742880519412
15,CA_SCE_CEN,7.104995162686492
16,CA_SCE_S,8.069308985266654
17,CA_SCE_SE,7.10995928945301
18,CA_SCE_VLY,10.456797235023041
19,CA_SDGE,4.260897367579665
20,CA_SMUD,7.212815228706792
21,CO_DEN,7.231380844700562
22,CO_E,8.079331941544885
23,CO_NW,8.532959668575607
24,CO_SW,7.550050727088266
25,ID_E,7.212762010758672
26,ID_S_OR_E,7.213009028929426
27,MEX_BAJA,7.401341334274621
28,MT_NE,3.9414685256402624
29,MT_NW,6.719684380687534
30,MT_SE,3.615395500212254
31,MT_SW,3.6064100698486614
32,NM_N,9.15171470826241
33,NM_S_TX_EPE,7.917482484489631
34,NV_N,7.377763626594495
35,NV_S,7.494668725641591
36,OR_E,9.911350815200546
37,OR_PDX,4.27055284312275
38,OR_W,5.581052286510408
39,OR_WA_BPA,3.606424717999019
40,UT_N,8.052350344613956
41,UT_S,7.429336118545597
42,WA_ID_AVA,3.6183672674893916
43,WA_N_CEN,3.610354957820122
44,WA_SEATAC,7.168963712491276
45,WA_W,4.261691625533339
46,WY_NE,7.212710369613942
47,WY_NW,6.219750837967179
48,WY_SE,9.001448619284744
49,WY_SW,7.213178045170838
