scenario_name,Solar,Wind
1.94,106.5798079296709,11.180818053381868
2.0,102.98229519508257,10.166142489575417
2.5,96.95106516108545,9.192239025189421
3.0,91.23070533957457,8.744351667175614
4.0,82.26657077625113,7.737448576418604
8.0,52.8256361296274,4.809067944242381
12.0,29.807525456990284,2.65069062242167
16.0,14.41440220481246,1.9432123718894299
18.0,11.984153350627427,1.9207480388583955
20.0,7.991040678131389,1.585947264474686
24.0,6.73793540698603,1.2105014753052368
32.0,3.3529882307372074,0.26161512537059994
48.0,2.443667700241812,0.6219161911353284
64.0,2.55609896467121,0.444035062419258
