,from,to,value,from_to
6,AZ_APS_N,AZ_NM_N,0.29258,AZ_APS_NAZ_NM_N
20,AZ_NM_N,NM_N,1.2493,AZ_NM_NNM_N
21,AZ_NM_N,NM_S_TX_EPE,1.3403e-07,AZ_NM_NNM_S_TX_EPE
26,AZ_SE,NM_S_TX_EPE,0.22289,AZ_SENM_S_TX_EPE
34,CAN_ALB,CAN_BC,3.0346,CAN_ALBCAN_BC
35,CAN_ALB,MT_NE,6.047,CAN_ALBMT_NE
36,CAN_ALB,MT_NW,5.2116e-08,CAN_ALBMT_NW
39,CAN_BC,WA_N_CEN,3.4583000000000004,CAN_BCWA_N_CEN
48,CA_PGE_CEN,NV_N,1.1039000000000001e-07,CA_PGE_CENNV_N
50,CA_PGE_N,NV_N,1.4151,CA_PGE_NNV_N
55,CA_SCE_CEN,CA_SCE_S,10.491,CA_SCE_CENCA_SCE_S
56,CA_SCE_CEN,CA_SCE_SE,3.7295000000000004e-08,CA_SCE_CENCA_SCE_SE
57,CA_SCE_CEN,CA_SCE_VLY,1.473e-07,CA_SCE_CENCA_SCE_VLY
61,CA_SCE_S,CA_SCE_SE,1.9289e-07,CA_SCE_SCA_SCE_SE
64,CA_SDGE,MEX_BAJA,4.1487,CA_SDGEMEX_BAJA
67,CO_DEN,WY_SE,0.48554,CO_DENWY_SE
68,CO_E,CO_NW,1.4327e-07,CO_ECO_NW
74,CO_NW,UT_S,9.7546e-08,CO_NWUT_S
76,CO_NW,WY_SW,1.711,CO_NWWY_SW
77,CO_SW,NM_N,7.8498e-08,CO_SWNM_N
78,CO_SW,UT_S,1.293e-07,CO_SWUT_S
79,ID_E,ID_S_OR_E,1.1079,ID_EID_S_OR_E
80,ID_E,MT_SW,1.073,ID_EMT_SW
82,ID_E,WY_NW,8.8888e-08,ID_EWY_NW
84,ID_S_OR_E,MT_NW,3.6721e-08,ID_S_OR_EMT_NW
85,ID_S_OR_E,MT_SW,1.8039000000000002e-07,ID_S_OR_EMT_SW
91,MT_NE,MT_SE,3.4215,MT_NEMT_SE
92,MT_NE,MT_SW,2.2758000000000003,MT_NEMT_SW
94,MT_NW,WA_ID_AVA,1.0797,MT_NWWA_ID_AVA
96,MT_SE,WY_NE,0.5365700000000001,MT_SEWY_NE
97,MT_SE,WY_NW,0.55802,MT_SEWY_NW
98,MT_SW,WY_NW,5.8854000000000005e-08,MT_SWWY_NW
100,NV_N,NV_S,2.6721000000000002e-06,NV_NNV_S
102,NV_N,UT_N,4.4382000000000007e-08,NV_NUT_N
114,OR_WA_BPA,WA_W,6.4783e-08,OR_WA_BPAWA_W
120,WA_SEATAC,WA_W,2.0548e-08,WA_SEATACWA_W
121,WY_NE,WY_NW,1.8660000000000002e-07,WY_NEWY_NW
125,WY_SE,WY_SW,3.3602,WY_SEWY_SW
