,gen_load_zone,value
0,AZ_APS_E,7.858039215686275
1,AZ_APS_N,7.212572373862696
2,AZ_APS_SW,8.694152147662583
3,AZ_NM_N,10.819091168905402
4,AZ_NW,7.212704590471557
5,AZ_PHX,7.437399908132735
6,AZ_SE,8.5291531255974
7,CAN_ALB,20.787136294027565
8,CAN_BC,9.172447013487476
9,CA_IID,9.667176918081454
10,CA_LADWP,8.521749486408432
11,CA_PGE_BAY,10.819148936170214
12,CA_PGE_CEN,9.113603009275751
13,CA_PGE_N,9.816775811620454
14,CA_PGE_S,10.213183216230705
15,CA_SCE_CEN,7.8666166887722735
16,CA_SCE_S,8.515032651093483
17,CA_SCE_SE,7.217949213465775
18,CA_SCE_VLY,9.876859928168292
19,CA_SDGE,4.260793058463032
20,CA_SMUD,10.818911393787191
21,CO_DEN,12.782608695652174
22,CO_E,11.265697812179134
23,CO_NW,12.78224668360147
24,CO_SW,10.8191617469968
25,ID_E,10.819126004311189
26,ID_S_OR_E,9.903931860948797
27,MEX_BAJA,8.8240509771005
28,MT_NE,8.521818325809773
29,MT_NW,10.819255853736768
30,MT_SE,14.421410247521319
31,MT_SW,14.424923391215527
32,NM_N,11.312413218550402
33,NM_S_TX_EPE,9.3615018274449
34,NV_N,9.897248922770965
35,NV_S,10.81922957117641
36,OR_E,8.521867503229378
37,OR_PDX,8.521724236368826
38,OR_W,8.705308616586857
39,OR_WA_BPA,8.521790341578328
40,UT_N,13.770965337308981
41,UT_S,10.818649297223175
42,WA_ID_AVA,10.81906999291494
43,WA_N_CEN,8.523799030409872
44,WA_SEATAC,8.52177483635661
45,WA_W,8.522079019649272
46,WY_NE,10.144736842105264
47,WY_NW,10.807979334098736
48,WY_SE,10.819255683983233
49,WY_SW,10.819010266466721
