,gen_type,gen_load_zone,value
249,Solar,WA_SEATAC,2.4608e-07
250,Solar,WA_W,0.0
251,Solar,WY_NE,1.6758
252,Solar,WY_NW,1.6496
253,Solar,WY_SE,2.2478000000000002
254,Solar,WY_SW,6.9693e-08
255,Storage,AZ_APS_E,0.8687400000000001
256,Storage,AZ_APS_N,0.0400012234
257,Storage,AZ_APS_SW,8.9489
258,Storage,AZ_NM_N,3.1798
259,Storage,AZ_NW,2.3061
260,Storage,AZ_PHX,6.28
261,Storage,AZ_SE,17.277
262,Storage,CAN_ALB,16.557
263,Storage,CAN_BC,1.3325
264,Storage,CA_IID,7.5051000000000005
265,Storage,CA_LADWP,0.6350800000000001
266,Storage,CA_PGE_BAY,5.3994
267,Storage,CA_PGE_CEN,10.2919
268,Storage,CA_PGE_N,15.7451
269,Storage,CA_PGE_S,7.1676
270,Storage,CA_SCE_CEN,39.629
271,Storage,CA_SCE_S,9.1667
272,Storage,CA_SCE_SE,3.0822
273,Storage,CA_SCE_VLY,1.8445
274,Storage,CA_SDGE,2.9872
275,Storage,CA_SMUD,1.1018
276,Storage,CO_DEN,0.0085014089
277,Storage,CO_E,0.6941200000000001
278,Storage,CO_NW,1.1494600000000001
279,Storage,CO_SW,1.1382
280,Storage,ID_E,3.2378000000000005
281,Storage,ID_S_OR_E,4.275399999999999
282,Storage,MEX_BAJA,14.166
283,Storage,MT_NE,0.12475
284,Storage,MT_NW,0.59236
285,Storage,MT_SE,6.3158e-07
286,Storage,MT_SW,0.052259
287,Storage,NM_N,0.044051
288,Storage,NM_S_TX_EPE,3.6193000000000004
289,Storage,NV_N,12.261000000000001
290,Storage,NV_S,16.556
291,Storage,OR_E,1.0475999999999999
292,Storage,OR_PDX,9.0721e-07
293,Storage,OR_W,7.3982
294,Storage,OR_WA_BPA,2.7701e-07
295,Storage,UT_N,1.6684
296,Storage,UT_S,8.271600000000001
297,Storage,WA_ID_AVA,1.4556000000000001e-07
298,Storage,WA_N_CEN,0.3140001382
299,Storage,WA_SEATAC,0.98115
300,Storage,WA_W,1.1206e-05
301,Storage,WY_NE,0.81949
302,Storage,WY_NW,0.9365700000000001
303,Storage,WY_SE,0.906
304,Storage,WY_SW,0.19863999999999998
305,Waste,UT_S,0.0095
306,Waste,WY_NW,0.0009000000000000001
307,Wind,AZ_APS_E,0.0
308,Wind,AZ_APS_N,0.0
309,Wind,AZ_APS_SW,0.0
310,Wind,AZ_NM_N,0.0
311,Wind,AZ_NW,0.0
312,Wind,AZ_PHX,0.0
313,Wind,AZ_SE,0.0
314,Wind,CAN_ALB,37.531
