scenario_name,Dec,Jul,Jun,Jan,Nov,Feb-May,Aug,Sep-Oct
1.94,308.3597737340863,181.73592248378657,20.731145003646333,1.9261840659340659,0.9754543333333334,0.7157066958126388,0.0,0.0
2.0,306.81221533698334,177.57163755689547,19.246128444444444,2.2381302197802198,0.9527544444444445,0.7352515898919723,0.0,0.0
2.5,304.51782065217395,165.1130753001644,12.816999226866333,2.197737912087912,1.056211111111111,0.9241568704650555,9.083666666666667e-08,0.0
3.0,301.2870737142241,160.15143209269894,14.392509223861778,2.345006375422198,1.056255709767111,0.8716787167717223,0.6626438637058065,5.661334918032787e-06
4.0,300.6694208905772,131.05320516129032,21.246922666666666,3.5511573646092303,1.0159687444444443,0.7613081513477223,20.262372150537633,0.0
8.0,273.6546182565217,100.93303591397849,23.99624802938333,20.499733612134726,1.8105727369413334,0.6038866476580556,44.192786971357314,1.9284395765031694
12.0,232.3733172763887,82.15112731182795,19.231255255555556,35.00720085542956,9.856000188297667,0.7610606994133333,67.65751012903226,4.851943780240109
16.0,164.3206594347826,77.48174408602151,17.887794955555556,79.47901761208792,16.649456886666666,1.4447784861111113,67.4272911827957,8.686392745901639
18.0,137.68458358695653,69.33149806451613,17.425749146694223,92.70316287154021,23.277415544444445,1.4655291700598054,62.00927634408602,16.289803316939892
20.0,103.39462877173912,55.6754788172043,14.263338333333333,76.59213452768309,51.86726433333333,1.7260347161196945,53.24570107526882,34.85753885628415
24.0,81.03070652173913,50.12255784946237,12.39266921111111,67.27949952747252,65.40217904444445,3.8867836172222225,49.21223397849462,42.45534328961749
32.0,69.75254847826086,42.485695913978496,16.568893366666668,62.83747737362638,60.54029297777778,12.856913094444444,42.0398111827957,38.3824641147541
48.0,54.44652448549358,30.484691397849463,28.461793341350333,50.68421886753087,47.88786040260833,29.435300267549778,30.03015559139785,28.01848123430481
64.0,44.93175239130435,32.65967752688172,31.092360622222223,42.81448959340659,41.786373,30.929802369444445,32.178320430107526,30.367642360655736
