scenario_index,<10h Storage (GW),10 - 20h Storage (GW),20+h Storage (GW)
0.5,0.0,0.08978187124238662,0.9113978819285155
1.0,0.050354183456675014,0.08357708036402815,0.8328419287499454
2.0,0.0668113016859255,0.17724563092825046,0.7045271364552401
5.0,0.48641408519037554,0.2521738400405589,0.2410432855097884
7.0,0.6024408739579359,0.32351337435200406,0.08595797942693228
10.0,0.820563403097963,0.10873841734804199,0.07625429017911782
15.0,0.9125038580012826,0.02039049281210271,0.06910120007727354
22.43,0.9222323430081478,0.07776765699185222,0.0
40.0,0.9086044298777936,0.06986337662900946,0.0
70.0,0.92988983530941,0.0,0.0
102.0,0.9099403364546008,0.0,0.0
