datetime,value
2050-01-02 00:00:00-08:00,13.194952727272726
2050-01-02 04:00:00-08:00,12.621259130434781
2050-01-02 08:00:00-08:00,12.095373333333333
2050-01-02 12:00:00-08:00,11.6115584
2050-01-02 16:00:00-08:00,11.164959999999999
2050-01-02 20:00:00-08:00,10.751442962962962
2050-01-03 00:00:00-08:00,10.367462857142856
2050-01-03 04:00:00-08:00,10.009964137931034
2050-01-03 08:00:00-08:00,9.676298666666666
2050-01-03 12:00:00-08:00,9.36416
2050-01-03 16:00:00-08:00,9.07153
2050-01-03 20:00:00-08:00,8.79663515151515
2050-01-04 00:00:00-08:00,8.537910588235293
2050-01-04 04:00:00-08:00,8.293970285714286
2050-01-04 08:00:00-08:00,8.063582222222221
2050-01-04 12:00:00-08:00,7.845647567567567
2050-01-04 16:00:00-08:00,7.6391831578947365
2050-01-04 20:00:00-08:00,7.443306666666666
2050-01-05 00:00:00-08:00,7.257223999999999
2050-01-05 04:00:00-08:00,7.080218536585365
2050-01-05 08:00:00-08:00,6.911641904761904
2050-01-05 12:00:00-08:00,6.13258
2050-01-05 16:00:00-08:00,5.357149047619048
2050-01-05 20:00:00-08:00,4.626598095238096
2050-01-06 00:00:00-08:00,3.97321
2050-01-06 04:00:00-08:00,3.319821904761905
2050-01-06 08:00:00-08:00,2.525814285714286
2050-01-06 12:00:00-08:00,1.731806666666667
2050-01-06 16:00:00-08:00,0.9377990476190476
2050-01-06 20:00:00-08:00,0.7076190476190476
2050-01-07 00:00:00-08:00,0.7076190476190476
2050-01-07 04:00:00-08:00,0.7076190476190476
2050-01-07 08:00:00-08:00,0.7076190476190476
2050-01-07 12:00:00-08:00,0.7076190476190476
2050-01-07 16:00:00-08:00,0.7076190476190476
2050-01-07 20:00:00-08:00,0.7076190476190476
2050-01-08 00:00:00-08:00,0.7076190476190476
2050-01-08 04:00:00-08:00,0.7076190476190476
2050-01-08 08:00:00-08:00,0.7076190476190476
2050-01-08 12:00:00-08:00,0.7076190476190476
2050-01-08 16:00:00-08:00,0.0
2050-01-08 20:00:00-08:00,0.0
2050-01-09 00:00:00-08:00,0.0
2050-01-09 04:00:00-08:00,0.0
2050-01-09 08:00:00-08:00,0.0
2050-01-09 12:00:00-08:00,0.0
2050-01-09 16:00:00-08:00,0.0
2050-01-09 20:00:00-08:00,0.0
2050-01-10 00:00:00-08:00,0.0
2050-01-10 04:00:00-08:00,0.0
2050-01-10 08:00:00-08:00,0.0
2050-01-10 12:00:00-08:00,0.0
