,Wind,Solar
1.0,1.3073706794976705,1.2956953225999046
0.75,1.220560595251844,1.244038544534389
0.5,1.1167716395867648,1.1935110549051995
0.35,1.0678553398485442,1.113162504837935
0.15,1.0394496626370981,1.0353741952785673
0.0,1.0,1.0
