scenario_name,8pm,Midnight,4am,8am,4pm,Noon
1.94,50.63757427715681,50.49712357781829,49.591092079127144,39.552624867156645,38.169406410353574,33.40421766393044
2.0,49.49600423451616,49.3805488505722,48.56185445205973,39.45284176993088,38.103977255857856,33.39568544890307
2.5,46.333211713061374,46.16653146110401,45.44575497710297,39.32958489496621,37.66945357806967,33.14576593145671
3.0,45.42529630601973,45.31178854776005,44.60534617142495,39.106713047942364,37.53357749891967,33.02667207577055
4.0,44.96205584064297,44.9286305422555,44.265309009288465,38.92656506379252,37.380808657194834,33.13455337912088
8.0,43.83754942098566,43.82440612484863,43.26109825713132,38.01011625516401,36.642147153187366,33.05830735608242
12.0,42.67156404768247,42.63238796498066,42.060836450188354,37.10534804725033,35.60336578822104,32.21190595877263
16.0,41.36404935549451,41.242106976923075,40.788933210439566,36.141041013186815,34.73852483736263,31.24575309010989
18.0,40.74889350601104,40.62555216902874,40.12415830698143,35.681687626891645,34.39486364004989,30.89501432100522
20.0,39.75581953631961,39.62211223528945,39.15708950855912,34.836616140095224,33.75391628692143,30.258601059420936
24.0,39.14192752417583,39.0143719967033,38.596914259340664,34.31140761208791,33.26496201318681,29.876468046153846
32.0,38.70568012637362,38.6214300989011,38.250488230769236,34.047044351648346,32.7279227912088,29.67283813186813
48.0,38.07476846153846,37.8735734065934,37.5748315934066,33.35968522896929,32.106982337932635,28.94853226146456
64.0,37.62124961538461,37.38935972527472,37.210338846153846,32.818914890109895,31.71018331868132,28.25471741758242
