datetime,Nuclear,Biomass,Hydro,Solar,Wind
2050-01-02 00:00:00-08:00,0.1171584,0.02450263968,0.854198422827,2.313487668852007,1.304166480154082
2050-01-03 00:00:00-08:00,0.1171584,0.019803518784,0.7829781099927999,2.3887407023601175,1.3330704603309032
2050-01-04 00:00:00-08:00,0.1171584,0.01667077152,0.7561477675626667,2.409738373567826,1.2586796204729158
2050-01-05 00:00:00-08:00,0.1171584,0.014433094902857142,0.7304841426325714,2.4528130962928727,1.2232726218854972
2050-01-06 00:00:00-08:00,0.1171584,0.004552472982857143,0.6125399011274285,2.6446257379241103,1.2685512087664013
2050-01-07 00:00:00-08:00,0.1171584,0.0011776352,0.5588212042314286,2.6838088745400848,1.2887806786751006
2050-01-08 00:00:00-08:00,0.1171584,0.0011776352,0.5675142802965715,2.613415854608816,1.282350318241351
2050-01-09 00:00:00-08:00,0.1171584,0.0010070351999999997,0.5966839072605714,2.602955227981422,1.2125631933931726
2050-01-10 00:00:00-08:00,0.1171584,0.0010070352000000002,0.6114457149525714,2.6084091212505482,1.214858610586116
2050-01-11 00:00:00-08:00,0.1171584,0.0010070351999999997,0.6505645961794285,2.5210665262732914,1.2171501955779132
2050-01-12 00:00:00-08:00,0.1171584,0.0010070352000000002,0.6754245124714285,2.527150455404677,1.1898240800728916
2050-01-13 00:00:00-08:00,0.1171584,0.0010070351999999997,0.7040774119142856,2.5070780353781736,1.130106541829184
2050-01-14 00:00:00-08:00,0.1171584,0.0010070352000000002,0.7070503364308571,2.499753832731477,1.1723591450909925
2050-01-15 00:00:00-08:00,0.1171584,0.0010070351999999997,0.7261151849719999,2.514255604598879,1.1477684461509143
2050-01-16 00:00:00-08:00,0.1171584,0.0010070352000000002,0.7658777352382857,2.5215021208783384,1.085670963501695
2050-01-17 00:00:00-08:00,0.1171584,0.0010070351999999997,0.8021675937988572,2.5185201137474813,0.9805394738783869
2050-01-18 00:00:00-08:00,0.1171584,0.0010070352000000002,0.7763730139491428,2.6378293473590704,0.9689197607871046
2050-01-19 00:00:00-08:00,0.1171584,0.0010070351999999997,0.7547822785942857,2.6591160619243976,1.0066728911891496
2050-01-20 00:00:00-08:00,0.1171584,0.0010070352000000002,0.726762944464,2.693528878288587,1.032855595540011
2050-01-21 00:00:00-08:00,0.1171584,0.0010070351999999997,0.7151546429268569,2.7345265769553118,0.9470488853371554
2050-01-22 00:00:00-08:00,0.1171584,0.0010070352000000002,0.6765344458451429,2.784567674309123,0.9621517809021538
2050-01-23 00:00:00-08:00,0.1171584,0.0010070351999999997,0.6302099659542856,2.7846951597713487,1.043479864337088
2050-01-24 00:00:00-08:00,0.1171584,0.0010070352000000002,0.5968220872617142,2.794190603052207,1.0910134424652005
2050-01-25 00:00:00-08:00,0.1171584,0.0010070351999999997,0.5733091470165714,2.7190211160068314,1.152063005824124
2050-01-26 00:00:00-08:00,0.1171584,0.0010070352000000002,0.5589039546171428,2.670662107740359,1.1765214725246622
2050-01-27 00:00:00-08:00,0.1171584,0.0010070351999999997,0.5529379668159999,2.617333796706426,1.2101477928286812
2050-01-28 00:00:00-08:00,0.1171584,0.0010070352000000002,0.5423225746297142,2.5784487275693726,1.2443990841577788
2050-01-29 00:00:00-08:00,0.1171584,0.0010070351999999997,0.5272567118182857,2.577767838621274,1.2885715914448046
2050-01-30 00:00:00-08:00,0.1171584,0.0010070352000000002,0.4964459167748571,2.5459542805667508,1.2931136772249212
2050-01-31 00:00:00-08:00,0.1171584,0.0010070351999999997,0.4715463167697143,2.5671576112394723,1.2821075915719011
2050-02-01 00:00:00-08:00,0.1171584,0.0010070352000000002,0.45093696462457145,2.6055862267039154,1.3146103420373678
2050-02-02 00:00:00-08:00,0.1171584,0.0010070351999999997,0.4424586043114286,2.6230397034973554,1.305813246351669
2050-02-03 00:00:00-08:00,0.1171584,0.0010070352000000002,0.4485297734171429,2.675632498088768,1.1888100093945773
2050-02-04 00:00:00-08:00,0.1171584,0.0010070351999999997,0.44813020531828573,2.7336463302902785,1.1363148195524937
2050-02-05 00:00:00-08:00,0.1171584,0.0010070352000000002,0.45061873867485713,2.7707934854282112,1.0872896324726662
2050-02-06 00:00:00-08:00,0.1171584,0.0010070351999999997,0.46278714803599996,2.8181902575696376,1.070792730744301
2050-02-07 00:00:00-08:00,0.1171584,0.0010070352000000002,0.4561209228417143,2.8236379283568596,1.051057921535236
2050-02-08 00:00:00-08:00,0.1171584,0.0010070351999999997,0.4538477471885714,2.884421190490667,0.962629020024764
2050-02-09 00:00:00-08:00,0.1171584,0.0010070352000000002,0.4502210300268571,2.908835654287188,0.9411323548689404
2050-02-10 00:00:00-08:00,0.1171584,0.0010070351999999997,0.4398882394885714,2.911572110096845,1.005327530942653
2050-02-11 00:00:00-08:00,0.1171584,0.0010070352000000002,0.4664851811965714,2.8944257900563115,0.9953595736223503
2050-02-12 00:00:00-08:00,0.1171584,0.0010070351999999997,0.518379548368,2.903190583138181,0.9192426546637222
2050-02-13 00:00:00-08:00,0.1171584,0.0010070352000000002,0.5754486704331427,2.9300564049863764,0.8475796671920132
2050-02-14 00:00:00-08:00,0.1171584,0.0010070351999999997,0.684318554044,2.8158783522746154,0.8337915233218742
2050-02-15 00:00:00-08:00,0.1171584,0.0010070352000000002,0.7792460704182856,2.7953783129386016,0.800077105632753
2050-02-16 00:00:00-08:00,0.1171584,0.0010070351999999997,0.8491467610577141,2.762683886931289,0.7653893712327108
2050-02-17 00:00:00-08:00,0.1171584,0.0010070352000000002,0.8985026838119999,2.800006322671855,0.7225246154423016
