gen_load_zone,percent_gen
AZ_APS_E,0.5603665043916574
AZ_APS_N,38.893271315082
AZ_APS_SW,992.6693790907482
AZ_NM_N,184.80898975972636
AZ_NW,136.136449020942
AZ_PHX,23.631364471413463
AZ_SE,175.02107473032157
CAN_ALB,92.24418065220357
CAN_BC,66.80990970131975
CA_IID,644.107020352161
CA_LADWP,0.6533897144700951
CA_PGE_BAY,16.721552139140652
CA_PGE_CEN,113.7393997339541
CA_PGE_N,232.37177634275358
CA_PGE_S,200.25608529270409
CA_SCE_CEN,621.7820567891598
CA_SCE_S,25.160063328388016
CA_SCE_SE,2003.9944616201658
CA_SCE_VLY,76.03795249089785
CA_SDGE,6.304192509730367
CA_SMUD,3.181776822902401
CO_DEN,155.0566753625042
CO_E,1.8479406001804959
CO_NW,146.5675433659806
CO_SW,122.62365958364019
ID_E,188.4497683109118
ID_S_OR_E,103.78687645415796
MEX_BAJA,248.2515699040721
MT_NE,151.18673155324157
MT_NW,116.65495989675185
MT_SE,56.52467017554823
MT_SW,133.95187748224814
NM_N,74.92497784190081
NM_S_TX_EPE,111.95852140569447
NV_N,281.0407918534252
NV_S,160.2958274901493
OR_E,279.00386524355423
OR_PDX,20.86328116345349
OR_W,194.5870303133524
OR_WA_BPA,355.82146510402157
UT_N,30.749017453649802
UT_S,506.8227532327075
WA_ID_AVA,115.67601370190393
WA_N_CEN,383.19544949558633
WA_SEATAC,0.18408312362127702
WA_W,43.51607814921408
WY_NE,57.48497011788598
WY_NW,201.89893447568923
WY_SE,274.1994337979094
WY_SW,205.40386940651666
