scenario_index,Storage Energy Capacity (TWh)
0.0909,1.1047544331435788
0.15,1.0243596955515917
0.187,1.0
0.21,0.9805899262136935
0.25,0.932471489765241
0.3,0.9117695781627632
0.4,0.9059498929019086
0.5,0.930764229374714
0.6,1.047673553719967
